What,Value,Property,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,Cut,Polish,Sym,Shape
Open,Medium,OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,VG,,,RO
Open,Big,OT3,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,VG,,,RO
Open,Big,OC3,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,-8.0,-8.0,-7.0,VG,,,RO
Open,Big,OG3,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,-7.0,-7.0,-6.0,VG,,,RO
Open,Big,OP3,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,VG,,,RO
Natural,Indented Natural,INT,-2.0,-2.0,-1.5,-1.5,-1.5,-1.0,-1.0,-1.0,-0.5,VG,,,RO
Natural,Indented Natural,INC,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,VG,,,RO
Natural,Indented Natural,ING,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,VG,,,RO
Natural,Indented Natural,INP,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0,VG,,,RO
Natural,Natural,NC1,-1.5,-1.5,-1.0,-1.0,-1.0,0.0,-0.5,-0.5,0.0,VG,,,RO
Natural,Natural,NC2,-2.0,-2.0,-1.5,-1.5,-1.5,-0.5,-1.0,-1.0,-0.5,VG,,,RO
Natural,Natural,NC3,-4.0,-4.0,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,VG,,,RO
Natural,Natural,NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,VG,,,RO
Natural,Natural,NP2,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,VG,,,RO
Natural,Natural,NP3,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.0,VG,,,RO
Others,Extra Facet,EFT,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Extra Facet,EFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Extra Facet,EFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Extra Facet,EFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VG,,,RO
Others,Cavity,CTT,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-3.0,-2.0,VG,,,RO
Others,Cavity,CTC,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-1.0,VG,,,RO
