index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
708,0.40-0.44,Very Strong,IF,VG,EX,GD,-63.0,-57.0,-57.0,-61,-59,-63,-62,-63,-60,-64
709,0.40-0.44,Very Strong,SI1,VG,EX,GD,-68.0,-65.0,-64.0,-60,-58,-59,-57,-58,-60,-57
710,0.40-0.44,Very Strong,SI1,VG,EX,GD,-68.0,-65.0,-64.0,-60,-58,-59,-57,-58,-60,-57
711,0.40-0.44,Very Strong,SI2,VG,EX,GD,-70.0,-70.0,-67.0,-63,-60,-59,-58,-55,-53,-55
712,0.40-0.44,Very Strong,SI2,VG,EX,GD,-70.0,-70.0,-67.0,-63,-60,-59,-58,-55,-53,-55
713,0.40-0.44,Very Strong,VS1,VG,EX,GD,-67.0,-63.0,-62.0,-58,-57,-65,-62,-61,-62,-62
714,0.40-0.44,Very Strong,VS1,VG,EX,GD,-67.0,-63.0,-62.0,-58,-57,-65,-62,-61,-62,-62
715,0.40-0.44,Very Strong,VS2,VG,EX,GD,-68.0,-67.0,-65.0,-60,-57,-65,-61,-61,-63,-60
716,0.40-0.44,Very Strong,VS2,VG,EX,GD,-68.0,-67.0,-65.0,-60,-57,-65,-61,-61,-63,-60
717,0.40-0.44,Very Strong,VVS1,VG,EX,GD,-62.0,-56.0,-57.0,-59,-59,-64,-64,-64,-59,-62
718,0.40-0.44,Very Strong,VVS1,VG,EX,GD,-62.0,-56.0,-57.0,-59,-59,-64,-64,-64,-59,-62
719,0.40-0.44,Very Strong,VVS2,VG,EX,GD,-66.0,-62.0,-60.0,-60,-60,-66,-64,-65,-65,-64
720,0.40-0.44,Very Strong,VVS2,VG,EX,GD,-66.0,-62.0,-60.0,-60,-60,-66,-64,-65,-65,-64
721,0.45-0.49,Very Strong,IF,VG,EX,GD,-64.0,-54.0,-51.0,-51,-53,-55,-52,-65,-59,-57
722,0.45-0.49,Very Strong,SI1,VG,EX,GD,-65.0,-60.0,-58.0,-55,-52,-54,-55,-55,-55,-60
723,0.45-0.49,Very Strong,SI2,VG,EX,GD,-71.0,-68.0,-64.0,-60,-56,-55,-55,-55,-54,-62
724,0.45-0.49,Very Strong,VS1,VG,EX,GD,-64.0,-59.0,-57.0,-52,-53,-57,-59,-57,-59,-61
725,0.45-0.49,Very Strong,VS2,VG,EX,GD,-60.0,-62.0,-60.0,-55,-51,-55,-56,-57,-57,-61
726,0.45-0.49,Very Strong,VVS1,VG,EX,GD,-60.0,-52.0,-51.0,-54,-54,-60,-56,-62,-57,-58
727,0.45-0.49,Very Strong,VVS2,VG,EX,GD,-67.0,-61.0,-57.0,-55,-55,-59,-62,-61,-60,-66
728,0.50-0.59,Very Strong,IF,VG,EX,GD,-78.0,-72.0,-71.0,-69,-74,-72,-67,-66,-67,-66
729,0.50-0.59,Very Strong,SI1,VG,EX,GD,-76.0,-77.0,-78.0,-73,-70,-69,-67,-66,-64,-66
730,0.50-0.59,Very Strong,SI2,VG,EX,GD,-75.0,-76.0,-77.0,-73,-72,-72,-67,-67,-64,-61
731,0.50-0.59,Very Strong,VS1,VG,EX,GD,-78.0,-76.0,-76.0,-73,-73,-69,-65,-65,-63,-63
732,0.50-0.59,Very Strong,VS2,VG,EX,GD,-78.0,-78.0,-77.0,-74,-73,-69,-67,-68,-62,-63
733,0.50-0.59,Very Strong,VVS1,VG,EX,GD,-78.0,-71.0,-71.0,-70,-74,-73,-69,-66,-66,-68
734,0.50-0.59,Very Strong,VVS2,VG,EX,GD,-78.0,-78.0,-76.0,-72,-73,-72,-70,-70,-65,-68
735,0.70-0.74,Very Strong,IF,VG,EX,GD,-74.0,-70.0,-65.0,-70,-75,-72,-69,-68,-63,-66
736,0.70-0.74,Very Strong,SI1,VG,EX,GD,-74.0,-72.0,-68.0,-67,-66,-64,-61,-60,-63,-66
737,0.70-0.74,Very Strong,SI2,VG,EX,GD,-74.0,-73.0,-72.0,-71,-68,-64,-63,-65,-63,-67
738,0.70-0.74,Very Strong,VS1,VG,EX,GD,-71.0,-72.0,-70.0,-66,-71,-65,-63,-62,-64,-70
739,0.70-0.74,Very Strong,VS2,VG,EX,GD,-75.0,-73.0,-71.0,-70,-69,-68,-65,-65,-65,-69
740,0.70-0.74,Very Strong,VVS1,VG,EX,GD,-70.0,-70.0,-64.0,-71,-74,-72,-68,-65,-68,-67
741,0.70-0.74,Very Strong,VVS2,VG,EX,GD,-75.0,-73.0,-69.0,-72,-75,-71,-68,-68,-67,-72
742,0.75-0.79,Very Strong,IF,VG,EX,GD,-68.0,-64.0,-62.0,-65,-69,-67,-64,-61,-62,-63
743,0.75-0.79,Very Strong,SI1,VG,EX,GD,-69.0,-67.0,-67.0,-61,-60,-56,-53,-58,-55,-63
744,0.75-0.79,Very Strong,SI2,VG,EX,GD,-72.0,-69.0,-71.0,-65,-60,-60,-53,-59,-58,-59
745,0.75-0.79,Very Strong,VS1,VG,EX,GD,-65.0,-64.0,-65.0,-62,-64,-60,-56,-58,-57,-62
746,0.75-0.79,Very Strong,VS2,VG,EX,GD,-70.0,-71.0,-69.0,-65,-62,-59,-56,-58,-55,-64
747,0.75-0.79,Very Strong,VVS1,VG,EX,GD,-65.0,-62.0,-60.0,-65,-69,-67,-62,-62,-59,-62
748,0.75-0.79,Very Strong,VVS2,VG,EX,GD,-69.0,-69.0,-67.0,-71,-71,-66,-63,-63,-59,-68
749,0.80-0.89,Very Strong,IF,VG,EX,GD,-66.0,-61.0,-58.0,-60,-63,-57,-57,-52,-56,-58
750,0.80-0.89,Very Strong,SI1,VG,EX,GD,-60.0,-60.0,-58.0,-58,-56,-52,-51,-55,-54,-58
751,0.80-0.89,Very Strong,SI2,VG,EX,GD,-62.0,-65.0,-64.0,-62,-59,-57,-52,-53,-55,-58
752,0.80-0.89,Very Strong,VS1,VG,EX,GD,-64.0,-62.0,-61.0,-61,-60,-59,-54,-48,-55,-58
753,0.80-0.89,Very Strong,VS2,VG,EX,GD,-64.0,-64.0,-63.0,-59,-59,-59,-52,-51,-54,-58
754,0.80-0.89,Very Strong,VVS1,VG,EX,GD,-61.0,-59.0,-59.0,-59,-62,-59,-57,-54,-55,-61
755,0.80-0.89,Very Strong,VVS2,VG,EX,GD,-64.0,-63.0,-64.0,-64,-65,-61,-57,-49,-59,-66
756,0.90-0.94,Very Strong,IF,VG,EX,GD,-76.0,-76.0,-76.0,-77,-77,-67,-65,-66,-69,-72
757,0.90-0.94,Very Strong,SI1,VG,EX,GD,-73.0,-69.0,-69.0,-67,-68,-67,-66,-63,-66,-68
758,0.90-0.94,Very Strong,SI2,VG,EX,GD,-77.0,-75.0,-71.0,-72,-71,-65,-64,-67,-64,-65
759,0.90-0.94,Very Strong,VS1,VG,EX,GD,-78.0,-76.0,-72.0,-71,-73,-69,-66,-65,-66,-67
760,0.90-0.94,Very Strong,VS2,VG,EX,GD,-78.0,-73.0,-73.0,-70,-72,-69,-68,-67,-67,-66
761,0.90-0.94,Very Strong,VVS1,VG,EX,GD,-76.0,-74.0,-73.0,-75,-77,-68,-66,-65,-69,-70
762,0.90-0.94,Very Strong,VVS2,VG,EX,GD,-78.0,-77.0,-74.0,-75,-77,-71,-69,-69,-70,-69
763,0.95-0.99,Very Strong,IF,VG,EX,GD,-71.0,-69.0,-69.0,-75,-73,-66,-61,-61,-64,-63
764,0.95-0.99,Very Strong,SI1,VG,EX,GD,-69.0,-67.0,-67.0,-65,-65,-65,-64,-58,-58,-62
765,0.95-0.99,Very Strong,SI2,VG,EX,GD,-75.0,-71.0,-69.0,-65,-66,-63,-61,-58,-59,-62
766,0.95-0.99,Very Strong,VS1,VG,EX,GD,-75.0,-71.0,-67.0,-66,-65,-64,-61,-60,-61,-62
767,0.95-0.99,Very Strong,VS2,VG,EX,GD,-67.0,-66.0,-68.0,-65,-68,-66,-67,-60,-60,-61
768,0.95-0.99,Very Strong,VVS1,VG,EX,GD,-73.0,-70.0,-71.0,-71,-71,-67,-62,-61,-66,-67
769,0.95-0.99,Very Strong,VVS2,VG,EX,GD,-75.0,-74.0,-70.0,-71,-69,-66,-65,-60,-66,-66
770,0.30-0.34,None,IF,EX,GD,EX,-49.0,-46.0,-46.0,-50,-51,-50,-50,-51,-46,-48
771,0.30-0.34,None,SI1,EX,GD,EX,-48.0,-51.0,-50.0,-46,-46,-48,-45,-45,-45,-43
772,0.30-0.34,None,SI2,EX,GD,EX,-48.0,-52.0,-49.0,-44,-45,-46,-43,-47,-47,-43
773,0.30-0.34,None,VS1,EX,GD,EX,-45.0,-50.0,-48.0,-46,-46,-47,-46,-45,-44,-45
774,0.30-0.34,None,VS2,EX,GD,EX,-49.0,-51.0,-49.0,-46,-45,-48,-46,-44,-45,-43
775,0.30-0.34,None,VVS1,EX,GD,EX,-46.0,-44.0,-44.0,-49,-49,-48,-48,-49,-45,-51
776,0.30-0.34,None,VVS2,EX,GD,EX,-47.0,-48.0,-48.0,-47,-48,-49,-49,-48,-47,-49
777,0.35-0.39,None,IF,EX,GD,EX,-44.0,-34.0,-40.0,-44,-45,-46,-46,-47,-45,-41
778,0.35-0.39,None,SI1,EX,GD,EX,-43.0,-49.0,-48.0,-46,-43,-41,-34,-41,-40,-41
779,0.35-0.39,None,SI2,EX,GD,EX,-45.0,-48.0,-47.0,-44,-44,-42,-39,-45,-41,-41
780,0.35-0.39,None,VS1,EX,GD,EX,-42.0,-49.0,-47.0,-45,-44,-44,-39,-43,-40,-41
781,0.35-0.39,None,VS2,EX,GD,EX,-45.0,-50.0,-48.0,-45,-42,-44,-37,-41,-42,-41
782,0.35-0.39,None,VVS1,EX,GD,EX,-40.0,-36.0,-40.0,-44,-44,-45,-43,-46,-44,-42
783,0.35-0.39,None,VVS2,EX,GD,EX,-43.0,-43.0,-43.0,-46,-45,-46,-42,-46,-43,-45
784,0.40-0.44,None,IF,EX,GD,EX,-36.0,-33.0,-33.0,-37,-36,-41,-40,-42,-39,-43
785,0.40-0.44,None,IF,EX,GD,EX,-36.0,-33.0,-33.0,-37,-36,-41,-40,-42,-39,-43
786,0.40-0.44,None,SI1,EX,GD,EX,-43.0,-42.0,-41.0,-38,-37,-38,-38,-41,-43,-40
787,0.40-0.44,None,SI1,EX,GD,EX,-43.0,-42.0,-41.0,-38,-37,-38,-38,-41,-43,-40
788,0.40-0.44,None,SI2,EX,GD,EX,-45.0,-47.0,-44.0,-41,-39,-38,-39,-38,-36,-38
789,0.40-0.44,None,SI2,EX,GD,EX,-45.0,-47.0,-44.0,-41,-39,-38,-39,-38,-36,-38
790,0.40-0.44,None,VS1,EX,GD,EX,-42.0,-40.0,-39.0,-37,-36,-44,-42,-42,-43,-43
791,0.40-0.44,None,VS1,EX,GD,EX,-42.0,-40.0,-39.0,-37,-36,-44,-42,-42,-43,-43
792,0.40-0.44,None,VS2,EX,GD,EX,-43.0,-44.0,-42.0,-39,-36,-44,-41,-42,-44,-41
793,0.40-0.44,None,VS2,EX,GD,EX,-43.0,-44.0,-42.0,-39,-36,-44,-41,-42,-44,-41
794,0.40-0.44,None,VVS1,EX,GD,EX,-35.0,-32.0,-33.0,-35,-36,-42,-42,-43,-38,-41
795,0.40-0.44,None,VVS1,EX,GD,EX,-35.0,-32.0,-33.0,-35,-36,-42,-42,-43,-38,-41
796,0.40-0.44,None,VVS2,EX,GD,EX,-39.0,-38.0,-36.0,-36,-37,-44,-42,-44,-44,-43
797,0.40-0.44,None,VVS2,EX,GD,EX,-39.0,-38.0,-36.0,-36,-37,-44,-42,-44,-44,-43
798,0.45-0.49,None,IF,EX,GD,EX,-28.0,-22.0,-20.0,-20,-24,-27,-25,-38,-32,-30
799,0.45-0.49,None,SI1,EX,GD,EX,-33.0,-31.0,-30.0,-28,-26,-29,-29,-30,-30,-35
800,0.45-0.49,None,SI2,EX,GD,EX,-39.0,-39.0,-36.0,-33,-30,-30,-29,-30,-29,-37
801,0.45-0.49,None,VS1,EX,GD,EX,-30.0,-28.0,-27.0,-24,-26,-31,-33,-31,-33,-35
802,0.45-0.49,None,VS2,EX,GD,EX,-26.0,-31.0,-30.0,-27,-24,-29,-30,-31,-31,-35
803,0.45-0.49,None,VVS1,EX,GD,EX,-24.0,-20.0,-20.0,-23,-25,-32,-29,-35,-30,-31
804,0.45-0.49,None,VVS2,EX,GD,EX,-31.0,-29.0,-26.0,-24,-26,-31,-35,-34,-33,-39
805,0.50-0.59,None,IF,EX,GD,EX,-46.0,-42.0,-43.0,-43,-47,-47,-43,-42,-43,-42
806,0.50-0.59,None,SI1,EX,GD,EX,-48.0,-51.0,-50.0,-50,-46,-47,-47,-46,-44,-46
807,0.50-0.59,None,SI2,EX,GD,EX,-47.0,-50.0,-49.0,-50,-48,-50,-47,-47,-44,-41
808,0.50-0.59,None,VS1,EX,GD,EX,-48.0,-49.0,-49.0,-47,-47,-47,-44,-45,-43,-43
809,0.50-0.59,None,VS2,EX,GD,EX,-49.0,-51.0,-50.0,-48,-47,-47,-46,-48,-42,-43
810,0.50-0.59,None,VVS1,EX,GD,EX,-46.0,-41.0,-43.0,-44,-47,-48,-45,-42,-42,-44
811,0.50-0.59,None,VVS2,EX,GD,EX,-50.0,-48.0,-48.0,-46,-46,-47,-46,-46,-41,-44
812,0.70-0.74,None,IF,EX,GD,EX,-41.0,-36.0,-34.0,-39,-45,-42,-41,-41,-36,-39
813,0.70-0.74,None,SI1,EX,GD,EX,-47.0,-46.0,-43.0,-43,-42,-41,-39,-37,-40,-43
814,0.70-0.74,None,SI2,EX,GD,EX,-47.0,-47.0,-47.0,-47,-44,-41,-41,-42,-40,-44
815,0.70-0.74,None,VS1,EX,GD,EX,-42.0,-43.0,-42.0,-39,-44,-38,-37,-39,-41,-47
816,0.70-0.74,None,VS2,EX,GD,EX,-46.0,-44.0,-43.0,-43,-42,-41,-39,-42,-42,-46
817,0.70-0.74,None,VVS1,EX,GD,EX,-37.0,-36.0,-33.0,-40,-44,-42,-40,-38,-41,-40
818,0.70-0.74,None,VVS2,EX,GD,EX,-42.0,-39.0,-38.0,-41,-45,-41,-40,-41,-40,-45
819,0.75-0.79,None,IF,EX,GD,EX,-34.0,-30.0,-28.0,-33,-39,-38,-36,-34,-35,-36
820,0.75-0.79,None,SI1,EX,GD,EX,-41.0,-39.0,-39.0,-36,-35,-32,-30,-36,-33,-41
821,0.75-0.79,None,SI2,EX,GD,EX,-44.0,-41.0,-43.0,-40,-35,-36,-30,-37,-36,-37
822,0.75-0.79,None,VS1,EX,GD,EX,-36.0,-36.0,-37.0,-36,-38,-34,-33,-36,-35,-40
823,0.75-0.79,None,VS2,EX,GD,EX,-41.0,-43.0,-41.0,-39,-36,-33,-33,-36,-33,-42
824,0.75-0.79,None,VVS1,EX,GD,EX,-31.0,-28.0,-26.0,-33,-39,-38,-34,-35,-32,-35
825,0.75-0.79,None,VVS2,EX,GD,EX,-35.0,-35.0,-33.0,-39,-41,-37,-35,-36,-32,-41
826,0.80-0.89,None,IF,EX,GD,EX,-25.0,-20.0,-18.0,-21,-27,-25,-26,-23,-27,-29
827,0.80-0.89,None,SI1,EX,GD,EX,-30.0,-31.0,-30.0,-30,-29,-26,-27,-33,-32,-36
828,0.80-0.89,None,SI2,EX,GD,EX,-32.0,-36.0,-36.0,-34,-32,-31,-28,-31,-33,-36
829,0.80-0.89,None,VS1,EX,GD,EX,-25.0,-25.0,-25.0,-28,-29,-31,-28,-25,-32,-35
830,0.80-0.89,None,VS2,EX,GD,EX,-25.0,-27.0,-27.0,-26,-28,-31,-26,-28,-31,-35
831,0.80-0.89,None,VVS1,EX,GD,EX,-20.0,-18.0,-19.0,-20,-26,-27,-26,-25,-26,-32
832,0.80-0.89,None,VVS2,EX,GD,EX,-23.0,-22.0,-24.0,-25,-29,-29,-26,-20,-30,-37
833,0.90-0.94,None,IF,EX,GD,EX,-40.0,-40.0,-40.0,-42,-42,-34,-33,-34,-37,-40
834,0.90-0.94,None,SI1,EX,GD,EX,-36.0,-35.0,-36.0,-35,-36,-38,-38,-35,-38,-40
835,0.90-0.94,None,SI2,EX,GD,EX,-40.0,-41.0,-38.0,-40,-39,-36,-36,-39,-36,-37
836,0.90-0.94,None,VS1,EX,GD,EX,-44.0,-42.0,-38.0,-38,-40,-38,-36,-35,-36,-37
837,0.90-0.94,None,VS2,EX,GD,EX,-42.0,-39.0,-39.0,-37,-39,-38,-38,-37,-37,-36
838,0.90-0.94,None,VVS1,EX,GD,EX,-40.0,-38.0,-37.0,-40,-42,-35,-34,-33,-37,-38
839,0.90-0.94,None,VVS2,EX,GD,EX,-44.0,-41.0,-38.0,-40,-42,-38,-37,-37,-38,-37
840,0.95-0.99,None,IF,EX,GD,EX,-32.0,-30.0,-30.0,-37,-36,-30,-26,-28,-31,-30
