open,1,2,3,4,5,6,7,8,9,Cut,Shape,Polish,Symmetry
CHG,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,0,0,EX,RO,,
CHP,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,EX,RO,,
,,,,,,,,,,,,,
INT,-2,-2,-1.5,-1.5,-1.5,-1,-1,-1,-0.5,VG,RO,,
INC,-1,-1,-1,-1,-1,-0.5,0,0,0,VG,RO,,
ING,-1,-1,-1,-1,-1,-0.5,0,0,0,VG,RO,,
INP,-1,-1,-1,-1,-1,-0.5,0,0,0,VG,RO,,
,,,,,,,,,,VG,RO,,
NC1,-1.5,-1.5,-1,-1,-1,0,-0.5,-0.5,0,VG,RO,,
NC2,-2,-2,-1.5,-1.5,-1.5,-0.5,-1,-1,-0.5,VG,RO,,
NC3,-4,-4,-3.5,-3.5,-3.5,-3,-3,-3,-2.5,VG,RO,,
NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,VG,RO,,
NP2,-1,-1,-1,-1,-1,-0.5,-0.5,-0.5,-0.5,VG,RO,,
NP3,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,VG,RO,,
,,,,,,,,,,VG,RO,,
,,,,,,,,,,VG,RO,,
EFT,-1,-1,0,0,0,0,0,0,0,VG,RO,,
EFC,0,0,0,0,0,0,0,0,0,VG,RO,,
EFG,0,0,0,0,0,0,0,0,0,VG,RO,,
EFP,0,0,0,0,0,0,0,0,0,VG,RO,,
,,,,,,,,,,VG,RO,,
CTT,-4,-4,-3,-4,-4,-3,-3,-3,-2,VG,RO,,
CTC,-3,-3,-2,-3,-3,-2,-2,-2,-1,VG,RO,,
CTG,-2,-2,-1,-2,-2,-1,-1,-1,-1,VG,RO,,
CTP,-3,-3,-2,-3,-3,-2,-2,-2,-1,VG,RO,,
,,,,,,,,,,VG,RO,,
CHT,-1,-1,-1,-1,-1,-0.5,-1,-1,0,VG,RO,,
CHC,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,VG,RO,,
CHG,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,0,0,VG,RO,,
CHP,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,0,0,VG,RO,,
INT,0,0,0,0,0,0,0,0,0,GD,RO,,
INC,0,0,0,0,0,0,0,0,0,GD,RO,,
ING,0,0,0,0,0,0,0,0,0,GD,RO,,
INP,0,0,0,0,0,0,0,0,0,GD,RO,,
,,,,,,,,,,GD,RO,,
NC1,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,GD,RO,,
NC2,-1,-1,-1,-1,-1,-1,-1,-1,-0.5,GD,RO,,
NC3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1,GD,RO,,
NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,GD,RO,,
NP2,-1,-1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,GD,RO,,
NP3,-1.5,-1.5,-1,-1,-1,-1,-1,-1,-1,GD,RO,,
,,,,,,,,,,GD,RO,,
,,,,,,,,,,GD,RO,,
,,,,,,,,,,GD,RO,,
EFT,-1,-1,0,0,0,0,0,0,0,GD,RO,,
EFC,0,0,0,0,0,0,0,0,0,GD,RO,,
EFG,0,0,0,0,0,0,0,0,0,GD,RO,,
EFP,0,0,0,0,0,0,0,0,0,GD,RO,,
,,,,,,,,,,GD,RO,,
CTT,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-2.5,-2.5,-1.5,GD,RO,,
CTC,-1.5,-1.5,-0.5,-1.5,-1.5,-0.5,-0.5,-0.5,-0.5,GD,RO,,
CTG,-2.5,-2.5,-1.5,-2.5,-2.5,-1.5,-1.5,-1.5,-0.5,GD,RO,,
CTP,-1.5,-1.5,-0.5,-1.5,-1.5,-0.5,-0.5,-0.5,-0.5,GD,RO,,
,,,,,,,,,,GD,RO,,
CHT,-1,-1,-1,-1,-1,0,-1,-1,0,GD,RO,,
CHC,-0.5,-0.5,0,-0.5,-0.5,0,-1,-1,0,GD,RO,,
CHG,-0.5,-0.5,0,-0.5,-0.5,0,-0.5,-0.5,0,GD,RO,,
CHP,-0.5,-0.5,0,-0.5,-0.5,0,-0.5,-0.5,0,GD,RO,,
OHT,-2,-2,-1.5,-2,-2,-1.5,-2,-2,-1.5,,Fancy,EX,EX
OHC,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,,Fancy,EX,EX
OHG,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,,Fancy,EX,EX
OHP,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,,Fancy,EX,EX
