,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
73,VS1,-46,-51,-49,-47,-47,-48,-47,-45,-44,-44,VG,DD,DD,None,0.30-0.34
74,VS2,-50,-52,-50,-47,-46,-49,-47,-44,-45,-43,VG,DD,DD,None,0.30-0.34
75,SI1,-49,-52,-51,-47,-45,-46,-46,-45,-43,-41,VG,DD,DD,None,0.30-0.34
76,SI2,-49,-53,-50,-45,-45,-47,-44,-47,-45,-41,VG,DD,DD,None,0.30-0.34
77,IF,-59,-53,-52,-55,-56,-54,-53,-53,-48,-48,VG,DD,DD,Faint,0.30-0.34
78,VVS1,-56,-51,-50,-52,-54,-52,-52,-51,-47,-53,VG,DD,DD,Faint,0.30-0.34
79,VVS2,-57,-55,-54,-52,-53,-53,-53,-50,-47,-51,VG,DD,DD,Faint,0.30-0.34
80,VS1,-53,-56,-54,-51,-51,-51,-50,-47,-46,-46,VG,DD,DD,Faint,0.30-0.34
81,VS2,-57,-57,-55,-51,-50,-52,-50,-46,-47,-45,VG,DD,DD,Faint,0.30-0.34
82,SI1,-55,-56,-55,-50,-48,-48,-48,-47,-45,-43,VG,DD,DD,Faint,0.30-0.34
83,SI2,-55,-57,-54,-48,-48,-49,-46,-49,-47,-43,VG,DD,DD,Faint,0.30-0.34
84,IF,-64,-58,-56,-60,-59,-57,-56,-55,-50,-50,VG,DD,DD,Med,0.30-0.34
85,VVS1,-61,-56,-54,-57,-57,-55,-55,-53,-49,-55,VG,DD,DD,Med,0.30-0.34
86,VVS2,-62,-60,-58,-57,-56,-56,-56,-52,-49,-53,VG,DD,DD,Med,0.30-0.34
87,VS1,-56,-59,-56,-53,-53,-53,-52,-48,-47,-47,VG,DD,DD,Med,0.30-0.34
88,VS2,-60,-60,-57,-53,-52,-54,-52,-47,-48,-46,VG,DD,DD,Med,0.30-0.34
89,SI1,-59,-60,-58,-52,-49,-50,-49,-48,-46,-44,VG,DD,DD,Med,0.30-0.34
90,SI2,-59,-61,-57,-50,-49,-51,-47,-50,-48,-44,VG,DD,DD,Med,0.30-0.34
91,IF,-67,-61,-59,-62,-63,-62,-61,-60,-55,-55,VG,DD,DD,Strong,0.30-0.34
92,VVS1,-64,-59,-57,-59,-61,-60,-60,-58,-54,-60,VG,DD,DD,Strong,0.30-0.34
93,VVS2,-65,-63,-61,-59,-60,-61,-61,-57,-54,-58,VG,DD,DD,Strong,0.30-0.34
94,VS1,-59,-62,-60,-57,-56,-57,-56,-53,-52,-52,VG,DD,DD,Strong,0.30-0.34
95,VS2,-63,-63,-61,-57,-55,-58,-56,-52,-53,-51,VG,DD,DD,Strong,0.30-0.34
96,SI1,-62,-63,-62,-57,-53,-54,-53,-52,-50,-48,VG,DD,DD,Strong,0.30-0.34
97,SI2,-62,-64,-61,-55,-53,-55,-51,-54,-52,-48,VG,DD,DD,Strong,0.30-0.34
98,IF,-72,-66,-64,-67,-68,-67,-66,-65,-60,-60,VG,DD,DD,Very Strong,0.30-0.34
99,VVS1,-69,-64,-62,-64,-66,-65,-65,-63,-59,-65,VG,DD,DD,Very Strong,0.30-0.34
100,VVS2,-70,-68,-66,-64,-65,-66,-66,-62,-59,-63,VG,DD,DD,Very Strong,0.30-0.34
101,VS1,-64,-67,-65,-62,-61,-62,-61,-58,-57,-57,VG,DD,DD,Very Strong,0.30-0.34
102,VS2,-68,-68,-66,-62,-60,-63,-61,-57,-58,-56,VG,DD,DD,Very Strong,0.30-0.34
103,SI1,-67,-68,-67,-62,-58,-59,-58,-57,-55,-53,VG,DD,DD,Very Strong,0.30-0.34
104,SI2,-67,-69,-66,-60,-58,-60,-56,-59,-57,-53,VG,DD,DD,Very Strong,0.30-0.34
105,IF,-58,-55,-54,-57,-57,-56,-55,-56,-51,-51,GD,DD,DD,None,0.30-0.34
106,VVS1,-55,-53,-52,-54,-55,-54,-54,-54,-50,-56,GD,DD,DD,None,0.30-0.34
107,VVS2,-56,-57,-56,-54,-54,-55,-55,-53,-50,-54,GD,DD,DD,None,0.30-0.34
108,VS1,-52,-56,-54,-52,-53,-53,-52,-51,-50,-50,GD,DD,DD,None,0.30-0.34
109,VS2,-56,-57,-55,-52,-52,-54,-52,-50,-51,-49,GD,DD,DD,None,0.30-0.34
110,SI1,-55,-58,-56,-52,-49,-50,-50,-50,-48,-46,GD,DD,DD,None,0.30-0.34
111,SI2,-55,-59,-55,-50,-49,-51,-48,-52,-50,-46,GD,DD,DD,None,0.30-0.34
112,IF,-62,-57,-56,-59,-59,-58,-57,-57,-52,-52,GD,DD,DD,Faint,0.30-0.34
113,VVS1,-59,-55,-54,-56,-57,-56,-56,-55,-51,-57,GD,DD,DD,Faint,0.30-0.34
114,VVS2,-60,-59,-58,-56,-56,-57,-57,-54,-51,-55,GD,DD,DD,Faint,0.30-0.34
115,VS1,-56,-58,-56,-54,-55,-55,-54,-52,-51,-51,GD,DD,DD,Faint,0.30-0.34
116,VS2,-60,-59,-57,-54,-54,-56,-54,-51,-52,-50,GD,DD,DD,Faint,0.30-0.34
117,SI1,-59,-60,-58,-54,-51,-52,-52,-51,-49,-47,GD,DD,DD,Faint,0.30-0.34
118,SI2,-59,-61,-57,-52,-51,-53,-50,-53,-51,-47,GD,DD,DD,Faint,0.30-0.34
119,IF,-69,-65,-63,-66,-64,-62,-61,-60,-55,-55,GD,DD,DD,Med,0.30-0.34
120,VVS1,-67,-63,-61,-63,-62,-60,-60,-58,-54,-60,GD,DD,DD,Med,0.30-0.34
121,VVS2,-68,-67,-65,-63,-61,-61,-61,-57,-54,-58,GD,DD,DD,Med,0.30-0.34
122,VS1,-62,-64,-61,-58,-59,-58,-57,-54,-53,-53,GD,DD,DD,Med,0.30-0.34
123,VS2,-66,-65,-62,-58,-58,-59,-57,-53,-54,-52,GD,DD,DD,Med,0.30-0.34
124,SI1,-64,-65,-63,-57,-53,-54,-53,-53,-51,-49,GD,DD,DD,Med,0.30-0.34
125,SI2,-64,-66,-62,-55,-53,-55,-51,-55,-53,-49,GD,DD,DD,Med,0.30-0.34
126,IF,-71,-68,-66,-68,-68,-67,-66,-65,-60,-60,GD,DD,DD,Strong,0.30-0.34
127,VVS1,-70,-66,-64,-65,-66,-65,-65,-63,-59,-65,GD,DD,DD,Strong,0.30-0.34
128,VVS2,-71,-70,-68,-65,-65,-66,-66,-62,-59,-63,GD,DD,DD,Strong,0.30-0.34
129,VS1,-65,-67,-65,-62,-62,-62,-61,-59,-58,-58,GD,DD,DD,Strong,0.30-0.34
130,VS2,-69,-68,-66,-62,-61,-63,-61,-58,-59,-57,GD,DD,DD,Strong,0.30-0.34
131,SI1,-68,-69,-67,-62,-57,-58,-57,-57,-55,-53,GD,DD,DD,Strong,0.30-0.34
132,SI2,-68,-70,-66,-60,-57,-59,-55,-59,-57,-53,GD,DD,DD,Strong,0.30-0.34
133,IF,-76,-73,-71,-73,-73,-72,-71,-70,-65,-65,GD,DD,DD,Very Strong,0.30-0.34
134,VVS1,-75,-71,-69,-70,-71,-70,-70,-68,-64,-70,GD,DD,DD,Very Strong,0.30-0.34
135,VVS2,-76,-75,-73,-70,-70,-71,-71,-67,-64,-68,GD,DD,DD,Very Strong,0.30-0.34
136,VS1,-70,-72,-70,-67,-67,-67,-66,-64,-63,-63,GD,DD,DD,Very Strong,0.30-0.34
137,VS2,-74,-73,-71,-67,-66,-68,-66,-63,-64,-62,GD,DD,DD,Very Strong,0.30-0.34
138,SI1,-73,-74,-72,-67,-62,-63,-62,-62,-60,-58,GD,DD,DD,Very Strong,0.30-0.34
139,SI2,-73,-75,-71,-65,-62,-64,-60,-64,-62,-58,GD,DD,DD,Very Strong,0.30-0.34
140,IF,-23,-10,-15,-31,-33,-38,-38,-39,-37,-31,EX,EX,EX,None,0.35-0.39
141,VVS1,-20,-21,-21,-31,-32,-37,-35,-38,-36,-30,EX,EX,EX,None,0.35-0.39
142,VVS2,-32,-30,-31,-30,-35,-38,-34,-38,-35,-37,EX,EX,EX,None,0.35-0.39
143,VS1,-32,-34,-33,-34,-34,-36,-32,-36,-33,-33,EX,EX,EX,None,0.35-0.39
144,VS2,-34,-39,-38,-36,-34,-36,-30,-34,-34,-34,EX,EX,EX,None,0.35-0.39
145,SI1,-35,-37,-36,-33,-36,-31,-27,-34,-30,-32,EX,EX,EX,None,0.35-0.39
146,SI2,-37,-39,-36,-34,-36,-33,-32,-38,-34,-30,EX,EX,EX,None,0.35-0.39
147,IF,-30,-15,-20,-36,-37,-41,-41,-41,-39,-33,EX,EX,EX,Faint,0.35-0.39
148,VVS1,-27,-26,-26,-36,-36,-40,-38,-40,-38,-32,EX,EX,EX,Faint,0.35-0.39
149,VVS2,-39,-35,-36,-35,-39,-41,-37,-40,-37,-39,EX,EX,EX,Faint,0.35-0.39
150,VS1,-38,-38,-37,-38,-38,-38,-34,-38,-35,-35,EX,EX,EX,Faint,0.35-0.39
151,VS2,-40,-43,-42,-40,-38,-38,-32,-36,-36,-36,EX,EX,EX,Faint,0.35-0.39
152,SI1,-40,-40,-39,-36,-39,-33,-29,-36,-32,-34,EX,EX,EX,Faint,0.35-0.39
153,SI2,-42,-42,-39,-37,-39,-35,-34,-40,-36,-32,EX,EX,EX,Faint,0.35-0.39
154,IF,-35,-20,-24,-40,-41,-45,-44,-44,-42,-36,EX,EX,EX,Med,0.35-0.39
155,VVS1,-32,-31,-30,-40,-40,-44,-41,-43,-41,-35,EX,EX,EX,Med,0.35-0.39
156,VVS2,-44,-40,-40,-39,-43,-45,-40,-43,-40,-42,EX,EX,EX,Med,0.35-0.39
157,VS1,-42,-42,-41,-41,-41,-42,-37,-40,-37,-37,EX,EX,EX,Med,0.35-0.39
158,VS2,-44,-47,-46,-43,-41,-42,-35,-38,-38,-38,EX,EX,EX,Med,0.35-0.39
159,SI1,-45,-45,-43,-39,-42,-37,-31,-38,-34,-36,EX,EX,EX,Med,0.35-0.39
160,SI2,-47,-47,-43,-40,-42,-39,-36,-42,-38,-34,EX,EX,EX,Med,0.35-0.39
161,IF,-40,-25,-29,-45,-46,-50,-49,-49,-47,-41,EX,EX,EX,Strong,0.35-0.39
162,VVS1,-37,-36,-35,-45,-45,-49,-46,-48,-46,-40,EX,EX,EX,Strong,0.35-0.39
163,VVS2,-49,-45,-45,-44,-48,-50,-45,-48,-45,-47,EX,EX,EX,Strong,0.35-0.39
164,VS1,-47,-47,-46,-46,-46,-47,-42,-45,-42,-42,EX,EX,EX,Strong,0.35-0.39
165,VS2,-49,-52,-51,-48,-46,-47,-40,-43,-43,-43,EX,EX,EX,Strong,0.35-0.39
166,SI1,-50,-50,-48,-44,-47,-42,-36,-43,-39,-41,EX,EX,EX,Strong,0.35-0.39
167,SI2,-52,-52,-48,-45,-47,-44,-41,-47,-43,-39,EX,EX,EX,Strong,0.35-0.39
168,IF,-45,-30,-34,-50,-51,-55,-54,-54,-52,-46,EX,EX,EX,Very Strong,0.35-0.39
169,VVS1,-42,-41,-40,-50,-50,-54,-51,-53,-51,-45,EX,EX,EX,Very Strong,0.35-0.39
170,VVS2,-54,-50,-50,-49,-53,-55,-50,-53,-50,-52,EX,EX,EX,Very Strong,0.35-0.39
171,VS1,-52,-52,-51,-51,-51,-52,-47,-50,-47,-47,EX,EX,EX,Very Strong,0.35-0.39
172,VS2,-54,-57,-56,-53,-51,-52,-45,-48,-48,-48,EX,EX,EX,Very Strong,0.35-0.39
173,SI1,-55,-55,-53,-49,-52,-47,-41,-48,-44,-46,EX,EX,EX,Very Strong,0.35-0.39
174,SI2,-57,-57,-53,-50,-52,-49,-46,-52,-48,-44,EX,EX,EX,Very Strong,0.35-0.39
175,IF,-46,-31,-35,-50,-49,-53,-52,-52,-50,-44,EX,DD,DD,Strong,0.35-0.39
176,VVS1,-43,-42,-41,-50,-48,-52,-49,-51,-49,-43,EX,DD,DD,Strong,0.35-0.39
177,VVS2,-55,-51,-51,-49,-51,-53,-48,-51,-48,-50,EX,DD,DD,Strong,0.35-0.39
178,VS1,-52,-52,-51,-50,-49,-50,-44,-47,-44,-44,EX,DD,DD,Strong,0.35-0.39
179,VS2,-54,-57,-56,-52,-49,-50,-42,-45,-45,-45,EX,DD,DD,Strong,0.35-0.39
180,SI1,-53,-53,-51,-47,-49,-44,-38,-45,-41,-43,EX,DD,DD,Strong,0.35-0.39
181,SI2,-55,-55,-51,-48,-49,-46,-43,-49,-45,-41,EX,DD,DD,Strong,0.35-0.39
182,IF,-29,-16,-21,-36,-36,-41,-41,-42,-40,-34,EX,DD,DD,None,0.35-0.39
183,VVS1,-26,-27,-27,-36,-35,-40,-38,-41,-39,-33,EX,DD,DD,None,0.35-0.39
184,VVS2,-38,-36,-37,-35,-38,-41,-37,-41,-38,-40,EX,DD,DD,None,0.35-0.39
185,VS1,-37,-39,-38,-38,-37,-39,-34,-38,-35,-35,EX,DD,DD,None,0.35-0.39
186,VS2,-39,-44,-43,-40,-37,-39,-32,-36,-36,-36,EX,DD,DD,None,0.35-0.39
187,SI1,-38,-40,-39,-36,-38,-33,-29,-36,-32,-34,EX,DD,DD,None,0.35-0.39
188,SI2,-40,-42,-39,-37,-38,-35,-34,-40,-36,-32,EX,DD,DD,None,0.35-0.39
189,IF,-36,-21,-26,-41,-40,-44,-44,-44,-42,-36,EX,DD,DD,Faint,0.35-0.39
190,VVS1,-33,-32,-32,-41,-39,-43,-41,-43,-41,-35,EX,DD,DD,Faint,0.35-0.39
191,VVS2,-45,-41,-42,-40,-42,-44,-40,-43,-40,-42,EX,DD,DD,Faint,0.35-0.39
192,VS1,-43,-43,-42,-42,-41,-41,-36,-40,-37,-37,EX,DD,DD,Faint,0.35-0.39
193,VS2,-45,-48,-47,-44,-41,-41,-34,-38,-38,-38,EX,DD,DD,Faint,0.35-0.39
194,SI1,-43,-43,-42,-39,-41,-35,-31,-38,-34,-36,EX,DD,DD,Faint,0.35-0.39
195,SI2,-45,-45,-42,-40,-41,-37,-36,-42,-38,-34,EX,DD,DD,Faint,0.35-0.39
196,IF,-41,-26,-30,-45,-44,-48,-47,-47,-45,-39,EX,DD,DD,Med,0.35-0.39
197,VVS1,-38,-37,-36,-45,-43,-47,-44,-46,-44,-38,EX,DD,DD,Med,0.35-0.39
198,VVS2,-50,-46,-46,-44,-46,-48,-43,-46,-43,-45,EX,DD,DD,Med,0.35-0.39
199,VS1,-47,-47,-46,-45,-44,-45,-39,-42,-39,-39,EX,DD,DD,Med,0.35-0.39
200,VS2,-49,-52,-51,-47,-44,-45,-37,-40,-40,-40,EX,DD,DD,Med,0.35-0.39
201,SI1,-48,-48,-46,-42,-44,-39,-33,-40,-36,-38,EX,DD,DD,Med,0.35-0.39
202,SI2,-50,-50,-46,-43,-44,-41,-38,-44,-40,-36,EX,DD,DD,Med,0.35-0.39
203,IF,-51,-36,-40,-55,-54,-58,-57,-57,-55,-49,EX,DD,DD,Very Strong,0.35-0.39
204,VVS1,-48,-47,-46,-55,-53,-57,-54,-56,-54,-48,EX,DD,DD,Very Strong,0.35-0.39
205,VVS2,-60,-56,-56,-54,-56,-58,-53,-56,-53,-55,EX,DD,DD,Very Strong,0.35-0.39
206,VS1,-57,-57,-56,-55,-54,-55,-49,-52,-49,-49,EX,DD,DD,Very Strong,0.35-0.39
207,VS2,-59,-62,-61,-57,-54,-55,-47,-50,-50,-50,EX,DD,DD,Very Strong,0.35-0.39
208,SI1,-58,-58,-56,-52,-54,-49,-43,-50,-46,-48,EX,DD,DD,Very Strong,0.35-0.39
209,SI2,-60,-60,-56,-53,-54,-51,-48,-54,-50,-46,EX,DD,DD,Very Strong,0.35-0.39
210,IF,-39,-26,-29,-42,-43,-47,-47,-48,-46,-40,VG,DD,DD,None,0.35-0.39
211,VVS1,-36,-37,-35,-42,-42,-46,-44,-47,-45,-39,VG,DD,DD,None,0.35-0.39
212,VVS2,-48,-46,-45,-41,-45,-47,-43,-47,-44,-46,VG,DD,DD,None,0.35-0.39
213,VS1,-47,-47,-44,-44,-43,-45,-40,-44,-41,-41,VG,DD,DD,None,0.35-0.39
214,VS2,-49,-52,-49,-46,-43,-45,-38,-42,-42,-42,VG,DD,DD,None,0.35-0.39
215,SI1,-46,-48,-45,-42,-44,-39,-35,-41,-37,-39,VG,DD,DD,None,0.35-0.39
216,SI2,-48,-50,-45,-43,-44,-41,-40,-45,-41,-37,VG,DD,DD,None,0.35-0.39
217,IF,-46,-31,-34,-47,-47,-50,-50,-50,-48,-42,VG,DD,DD,Faint,0.35-0.39
218,VVS1,-43,-42,-40,-47,-46,-49,-47,-49,-47,-41,VG,DD,DD,Faint,0.35-0.39
219,VVS2,-55,-51,-50,-46,-49,-50,-46,-49,-46,-48,VG,DD,DD,Faint,0.35-0.39
220,VS1,-53,-51,-48,-48,-47,-47,-42,-46,-43,-43,VG,DD,DD,Faint,0.35-0.39
221,VS2,-55,-56,-53,-50,-47,-47,-40,-44,-44,-44,VG,DD,DD,Faint,0.35-0.39
222,SI1,-51,-51,-48,-45,-47,-41,-37,-43,-39,-41,VG,DD,DD,Faint,0.35-0.39
223,SI2,-53,-53,-48,-46,-47,-43,-42,-47,-43,-39,VG,DD,DD,Faint,0.35-0.39
224,IF,-51,-36,-38,-51,-51,-54,-53,-53,-51,-45,VG,DD,DD,Med,0.35-0.39
225,VVS1,-48,-47,-44,-51,-50,-53,-50,-52,-50,-44,VG,DD,DD,Med,0.35-0.39
226,VVS2,-60,-56,-54,-50,-53,-54,-49,-52,-49,-51,VG,DD,DD,Med,0.35-0.39
227,VS1,-57,-55,-52,-51,-50,-51,-45,-48,-45,-45,VG,DD,DD,Med,0.35-0.39
228,VS2,-59,-60,-57,-53,-50,-51,-43,-46,-46,-46,VG,DD,DD,Med,0.35-0.39
229,SI1,-56,-56,-52,-48,-50,-45,-39,-45,-41,-43,VG,DD,DD,Med,0.35-0.39
230,SI2,-58,-58,-52,-49,-50,-47,-44,-49,-45,-41,VG,DD,DD,Med,0.35-0.39
231,IF,-56,-41,-43,-56,-56,-59,-58,-58,-56,-50,VG,DD,DD,Strong,0.35-0.39
232,VVS1,-53,-52,-49,-56,-55,-58,-55,-57,-55,-49,VG,DD,DD,Strong,0.35-0.39
233,VVS2,-65,-61,-59,-55,-58,-59,-54,-57,-54,-56,VG,DD,DD,Strong,0.35-0.39
234,VS1,-62,-60,-57,-56,-55,-56,-50,-53,-50,-50,VG,DD,DD,Strong,0.35-0.39
235,VS2,-64,-65,-62,-58,-55,-56,-48,-51,-51,-51,VG,DD,DD,Strong,0.35-0.39
236,SI1,-61,-61,-57,-53,-55,-50,-44,-50,-46,-48,VG,DD,DD,Strong,0.35-0.39
237,SI2,-63,-63,-57,-54,-55,-52,-49,-54,-50,-46,VG,DD,DD,Strong,0.35-0.39
238,IF,-61,-46,-48,-61,-61,-64,-63,-63,-61,-55,VG,DD,DD,Very Strong,0.35-0.39
239,VVS1,-58,-57,-54,-61,-60,-63,-60,-62,-60,-54,VG,DD,DD,Very Strong,0.35-0.39
240,VVS2,-70,-66,-64,-60,-63,-64,-59,-62,-59,-61,VG,DD,DD,Very Strong,0.35-0.39
241,VS1,-67,-65,-62,-61,-60,-61,-55,-58,-55,-55,VG,DD,DD,Very Strong,0.35-0.39
242,VS2,-69,-70,-67,-63,-60,-61,-53,-56,-56,-56,VG,DD,DD,Very Strong,0.35-0.39
243,SI1,-66,-66,-62,-58,-60,-55,-49,-55,-51,-53,VG,DD,DD,Very Strong,0.35-0.39
244,SI2,-68,-68,-62,-59,-60,-57,-54,-59,-55,-51,VG,DD,DD,Very Strong,0.35-0.39
245,IF,-45,-32,-36,-49,-49,-53,-53,-53,-51,-45,GD,DD,DD,None,0.35-0.39
246,VVS1,-42,-43,-42,-49,-48,-52,-50,-52,-50,-44,GD,DD,DD,None,0.35-0.39
247,VVS2,-54,-52,-52,-48,-51,-53,-49,-52,-49,-51,GD,DD,DD,None,0.35-0.39
248,VS1,-54,-54,-50,-49,-48,-50,-45,-49,-46,-46,GD,DD,DD,None,0.35-0.39
249,VS2,-56,-59,-55,-51,-48,-50,-43,-47,-47,-47,GD,DD,DD,None,0.35-0.39
250,SI1,-51,-53,-51,-48,-50,-45,-40,-47,-43,-45,GD,DD,DD,None,0.35-0.39
251,SI2,-53,-55,-51,-49,-50,-47,-45,-51,-47,-43,GD,DD,DD,None,0.35-0.39
252,IF,-49,-34,-38,-51,-51,-55,-55,-54,-52,-46,GD,DD,DD,Faint,0.35-0.39
253,VVS1,-46,-45,-44,-51,-50,-54,-52,-53,-51,-45,GD,DD,DD,Faint,0.35-0.39
254,VVS2,-58,-54,-54,-50,-53,-55,-51,-53,-50,-52,GD,DD,DD,Faint,0.35-0.39
255,VS1,-58,-56,-52,-51,-50,-52,-47,-50,-47,-47,GD,DD,DD,Faint,0.35-0.39
256,VS2,-60,-61,-57,-53,-50,-52,-45,-48,-48,-48,GD,DD,DD,Faint,0.35-0.39
257,SI1,-55,-55,-53,-50,-52,-47,-42,-48,-44,-46,GD,DD,DD,Faint,0.35-0.39
258,SI2,-57,-57,-53,-51,-52,-49,-47,-52,-48,-44,GD,DD,DD,Faint,0.35-0.39
259,IF,-57,-42,-45,-58,-57,-60,-59,-58,-56,-50,GD,DD,DD,Med,0.35-0.39
260,VVS1,-54,-53,-51,-58,-56,-59,-56,-57,-55,-49,GD,DD,DD,Med,0.35-0.39
261,VVS2,-66,-62,-61,-57,-59,-60,-55,-57,-54,-56,GD,DD,DD,Med,0.35-0.39
262,VS1,-64,-62,-58,-56,-54,-56,-50,-53,-50,-50,GD,DD,DD,Med,0.35-0.39
263,VS2,-66,-67,-63,-58,-54,-56,-48,-51,-51,-51,GD,DD,DD,Med,0.35-0.39
264,SI1,-60,-60,-58,-54,-55,-50,-44,-51,-47,-49,GD,DD,DD,Med,0.35-0.39
265,SI2,-62,-62,-58,-55,-55,-52,-49,-55,-51,-47,GD,DD,DD,Med,0.35-0.39
266,IF,-62,-47,-50,-63,-62,-65,-64,-63,-61,-55,GD,DD,DD,Strong,0.35-0.39
267,VVS1,-59,-58,-56,-63,-61,-64,-61,-62,-60,-54,GD,DD,DD,Strong,0.35-0.39
268,VVS2,-71,-67,-66,-62,-64,-65,-60,-62,-59,-61,GD,DD,DD,Strong,0.35-0.39
269,VS1,-69,-67,-63,-61,-59,-61,-55,-58,-55,-55,GD,DD,DD,Strong,0.35-0.39
270,VS2,-71,-71,-68,-63,-59,-61,-53,-56,-56,-56,GD,DD,DD,Strong,0.35-0.39
271,SI1,-65,-65,-63,-59,-60,-55,-49,-56,-52,-54,GD,DD,DD,Strong,0.35-0.39
272,SI2,-67,-67,-63,-60,-60,-57,-54,-60,-56,-52,GD,DD,DD,Strong,0.35-0.39
273,IF,-67,-52,-55,-68,-67,-70,-69,-68,-66,-60,GD,DD,DD,Very Strong,0.35-0.39
274,VVS1,-64,-63,-61,-68,-66,-69,-66,-67,-65,-59,GD,DD,DD,Very Strong,0.35-0.39
275,VVS2,-76,-72,-71,-67,-69,-70,-65,-67,-64,-66,GD,DD,DD,Very Strong,0.35-0.39
276,VS1,-74,-72,-68,-66,-64,-66,-60,-63,-60,-60,GD,DD,DD,Very Strong,0.35-0.39
277,VS2,-76,-76,-73,-68,-64,-66,-58,-61,-61,-61,GD,DD,DD,Very Strong,0.35-0.39
278,SI1,-70,-70,-68,-64,-65,-60,-54,-61,-57,-59,GD,DD,DD,Very Strong,0.35-0.39
279,SI2,-72,-72,-68,-65,-65,-62,-59,-65,-61,-57,GD,DD,DD,Very Strong,0.35-0.39
280,IF,-24,-21,-21,-27,-27,-32,-33,-35,-32,-36,EX,EX,EX,None,0.40-0.44
281,VVS1,-23,-20,-21,-25,-27,-33,-35,-36,-31,-34,EX,EX,EX,None,0.40-0.44
282,VVS2,-27,-25,-24,-26,-28,-35,-35,-37,-37,-36,EX,EX,EX,None,0.40-0.44
283,VS1,-30,-28,-28,-27,-27,-36,-35,-35,-36,-36,EX,EX,EX,None,0.40-0.44
284,VS2,-31,-32,-31,-29,-27,-36,-34,-35,-37,-34,EX,EX,EX,None,0.40-0.44
285,SI1,-33,-32,-32,-30,-29,-30,-31,-34,-36,-33,EX,EX,EX,None,0.40-0.44
286,SI2,-35,-37,-35,-33,-30,-30,-32,-31,-29,-31,EX,EX,EX,None,0.40-0.44
287,IF,-31,-26,-26,-31,-30,-35,-36,-37,-34,-38,EX,EX,EX,Faint,0.40-0.44
288,VVS1,-30,-25,-26,-29,-30,-36,-38,-38,-33,-36,EX,EX,EX,Faint,0.40-0.44
289,VVS2,-34,-30,-29,-30,-31,-38,-38,-39,-39,-38,EX,EX,EX,Faint,0.40-0.44
290,VS1,-36,-32,-32,-30,-30,-38,-37,-37,-38,-38,EX,EX,EX,Faint,0.40-0.44
291,VS2,-37,-36,-35,-32,-30,-38,-36,-37,-39,-36,EX,EX,EX,Faint,0.40-0.44
292,SI1,-38,-35,-35,-33,-32,-32,-33,-36,-38,-35,EX,EX,EX,Faint,0.40-0.44
293,SI2,-40,-40,-38,-36,-33,-32,-34,-33,-31,-33,EX,EX,EX,Faint,0.40-0.44
294,IF,-35,-30,-30,-36,-34,-38,-39,-40,-37,-41,EX,EX,EX,Med,0.40-0.44
295,VVS1,-34,-29,-30,-34,-34,-39,-41,-41,-36,-39,EX,EX,EX,Med,0.40-0.44
296,VVS2,-38,-34,-33,-35,-35,-41,-41,-42,-42,-41,EX,EX,EX,Med,0.40-0.44
297,VS1,-40,-36,-36,-34,-34,-42,-40,-39,-40,-40,EX,EX,EX,Med,0.40-0.44
298,VS2,-41,-40,-39,-36,-34,-42,-39,-39,-41,-38,EX,EX,EX,Med,0.40-0.44
299,SI1,-43,-40,-39,-36,-35,-36,-35,-38,-40,-37,EX,EX,EX,Med,0.40-0.44
300,SI2,-45,-45,-42,-39,-36,-36,-36,-35,-33,-35,EX,EX,EX,Med,0.40-0.44
301,IF,-39,-34,-34,-40,-39,-43,-43,-44,-41,-45,EX,EX,EX,Strong,0.40-0.44
302,VVS1,-38,-33,-34,-38,-39,-44,-45,-45,-40,-43,EX,EX,EX,Strong,0.40-0.44
303,VVS2,-42,-38,-37,-39,-40,-46,-45,-46,-46,-45,EX,EX,EX,Strong,0.40-0.44
304,VS1,-44,-40,-40,-37,-37,-46,-44,-43,-44,-44,EX,EX,EX,Strong,0.40-0.44
305,VS2,-45,-44,-43,-39,-37,-46,-43,-43,-45,-42,EX,EX,EX,Strong,0.40-0.44
306,SI1,-47,-44,-43,-40,-39,-40,-39,-41,-43,-40,EX,EX,EX,Strong,0.40-0.44
307,SI2,-49,-49,-46,-43,-40,-40,-40,-38,-36,-38,EX,EX,EX,Strong,0.40-0.44
308,IF,-44,-39,-39,-45,-44,-48,-48,-49,-46,-50,EX,EX,EX,Very Strong,0.40-0.44
309,VVS1,-43,-38,-39,-43,-44,-49,-50,-50,-45,-48,EX,EX,EX,Very Strong,0.40-0.44
310,VVS2,-47,-43,-42,-44,-45,-51,-50,-51,-51,-50,EX,EX,EX,Very Strong,0.40-0.44
311,VS1,-49,-45,-45,-42,-42,-51,-49,-48,-49,-49,EX,EX,EX,Very Strong,0.40-0.44
312,VS2,-50,-49,-48,-44,-42,-51,-48,-48,-50,-47,EX,EX,EX,Very Strong,0.40-0.44
313,SI1,-52,-49,-48,-45,-44,-45,-44,-46,-48,-45,EX,EX,EX,Very Strong,0.40-0.44
314,SI2,-54,-54,-51,-48,-45,-45,-45,-43,-41,-43,EX,EX,EX,Very Strong,0.40-0.44
315,IF,-46,-41,-41,-45,-43,-47,-45,-46,-43,-47,EX,DD,DD,Strong,0.40-0.44
316,VVS1,-45,-40,-41,-43,-43,-48,-47,-47,-42,-45,EX,DD,DD,Strong,0.40-0.44
