Location,Intensity,1,2,3,4,5,6,7,8,9,sizemin,sizemax,cut,polish,sym,Shape
Table,BT3,-7.5,-7.0,-6.5,-9.0,-8.5,-7.5,-9.0,-8.0,-8.0,0,2.99,EX,EX,EX,Fancy
Crown,BC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.99,EX,EX,EX,Fancy
Crown,BC1+,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2.99,EX,EX,EX,Fancy
Crown,BC1,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.5,-2.5,-2.0,0,2.99,EX,EX,EX,Fancy
Crown,BC2,-4.0,-4.0,-3.5,-4.5,-4.5,-3.5,-5.0,-5.0,-4.0,0,2.99,EX,EX,EX,Fancy
Crown,BC3,-6.0,-6.0,-5.5,-8.0,-8.0,-6.5,-7.0,-7.0,-6.0,0,2.99,EX,EX,EX,Fancy
Table,BT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.99,,VG,VG,Fancy
Table,BT1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0,2.99,,VG,VG,Fancy
Table,BT1,-3.5,-3.5,-3.0,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,0,2.99,,VG,VG,Fancy
Table,BT2,-5.0,-5.0,-4.5,-5.5,-5.0,-4.5,-5.0,-5.0,-5.0,0,2.99,,VG,VG,Fancy
Table,BT3,-7.5,-7.0,-6.5,-9.0,-8.0,-7.0,-8.5,-7.5,-7.0,0,2.99,,VG,VG,Fancy
Crown,BC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.99,,VG,VG,Fancy
Crown,BC1+,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0,2.99,,VG,VG,Fancy
Crown,BC1,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.5,-2.5,-2.0,0,2.99,,VG,VG,Fancy
Crown,BC2,-4.0,-4.0,-3.5,-4.5,-4.5,-3.5,-5.0,-5.0,-4.0,0,2.99,,VG,VG,Fancy
Crown,BC3,-6.0,-6.0,-5.5,-8.0,-8.0,-6.5,-7.0,-7.0,-6.0,0,2.99,,VG,VG,Fancy
Table,BT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,EX,EX,EX,Fancy
Table,BT1+,-3.5,-3.5,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,3,10.0,EX,EX,EX,Fancy
Table,BT1,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-5.0,-4.5,-4.5,3,10.0,EX,EX,EX,Fancy
Table,BT2,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Table,BT3,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Crown,BC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,EX,EX,EX,Fancy
