level_0,index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
0,0.0,0.30-0.34,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
1,1.0,0.30-0.34,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
2,2.0,0.30-0.34,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
3,3.0,0.30-0.34,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
4,4.0,0.30-0.34,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
5,5.0,0.30-0.34,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
6,6.0,0.30-0.34,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
7,7.0,0.35-0.39,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
8,8.0,0.35-0.39,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
9,9.0,0.35-0.39,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
10,10.0,0.35-0.39,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
11,11.0,0.35-0.39,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
12,12.0,0.35-0.39,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
13,13.0,0.35-0.39,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
14,14.0,0.40-0.44,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
15,15.0,0.40-0.44,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.5,-4.5,-4.5
16,16.0,0.40-0.44,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.5,-4.5,-4.5
17,17.0,0.40-0.44,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
18,18.0,0.40-0.44,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
19,19.0,0.40-0.44,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
20,20.0,0.40-0.44,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
21,21.0,0.45-0.49,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
22,22.0,0.45-0.49,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
23,23.0,0.45-0.49,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
24,24.0,0.45-0.49,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
25,25.0,0.45-0.49,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
26,26.0,0.45-0.49,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
27,27.0,0.45-0.49,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
28,28.0,0.50-0.59,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
29,29.0,0.50-0.59,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
30,30.0,0.50-0.59,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
31,31.0,0.50-0.59,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
32,32.0,0.50-0.59,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
33,33.0,0.50-0.59,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
34,34.0,0.50-0.59,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
35,35.0,0.60-0.69,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
36,36.0,0.60-0.69,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
37,37.0,0.60-0.69,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
38,38.0,0.60-0.69,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
39,39.0,0.60-0.69,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
40,40.0,0.60-0.69,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
41,41.0,0.60-0.69,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
42,42.0,0.70-0.74,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
43,43.0,0.70-0.74,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
44,44.0,0.70-0.74,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
45,45.0,0.70-0.74,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
46,46.0,0.70-0.74,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
47,47.0,0.70-0.74,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
48,48.0,0.70-0.74,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
49,49.0,0.75-0.79,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
50,50.0,0.75-0.79,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
51,51.0,0.75-0.79,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
52,52.0,0.75-0.79,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
53,53.0,0.75-0.79,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
54,54.0,0.75-0.79,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
55,55.0,0.75-0.79,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
56,56.0,0.80-0.89,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
57,57.0,0.80-0.89,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
58,58.0,0.80-0.89,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
59,59.0,0.80-0.89,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
60,60.0,0.80-0.89,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
61,61.0,0.80-0.89,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
62,62.0,0.80-0.89,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
63,63.0,0.90-0.94,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
64,64.0,0.90-0.94,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
65,65.0,0.90-0.94,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
66,66.0,0.90-0.94,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
67,67.0,0.90-0.94,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
68,68.0,0.90-0.94,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
69,69.0,0.90-0.94,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
70,70.0,0.95-0.99,None,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
71,71.0,0.95-0.99,None,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
72,72.0,0.95-0.99,None,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
73,73.0,0.95-0.99,None,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
74,74.0,0.95-0.99,None,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
75,75.0,0.95-0.99,None,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
76,76.0,0.95-0.99,None,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
77,77.0,0.30-0.34,None,IF,VG,EX,GD,-3.0,-3.5,-3.5,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
78,78.0,0.30-0.34,None,SI1,VG,EX,GD,-3.0,-3.0,-2.5,-2.5,-2.0,-2.0,-2.0,-2.5,-2.5,-2.5
79,79.0,0.30-0.34,None,SI2,VG,EX,GD,-3.0,-3.0,-2.5,-2.5,-2.0,-2.0,-2.0,-2.5,-2.5,-2.5
80,80.0,0.30-0.34,None,VS1,VG,EX,GD,-3.0,-2.5,-2.5,-2.5,-3.0,-2.5,-2.5,-3.0,-3.0,-3.0
81,81.0,0.30-0.34,None,VS2,VG,EX,GD,-3.0,-2.5,-2.5,-2.5,-3.0,-2.5,-2.5,-3.0,-3.0,-3.0
82,82.0,0.30-0.34,None,VVS1,VG,EX,GD,-3.0,-3.5,-3.5,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
83,83.0,0.30-0.34,None,VVS2,VG,EX,GD,-3.0,-3.5,-3.5,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
84,84.0,0.35-0.39,None,IF,VG,EX,GD,-3.0,-3.0,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,-2.5,-2.5
85,85.0,0.35-0.39,None,SI1,VG,EX,GD,-2.5,-2.5,-3.0,-3.0,-3.0,-3.0,-2.5,-3.0,-3.0,-3.0
86,86.0,0.35-0.39,None,SI2,VG,EX,GD,-2.5,-2.5,-3.0,-3.0,-3.0,-3.0,-2.5,-3.0,-3.0,-3.0
87,87.0,0.35-0.39,None,VS1,VG,EX,GD,-3.5,-3.5,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
88,88.0,0.35-0.39,None,VS2,VG,EX,GD,-3.5,-3.5,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
89,89.0,0.35-0.39,None,VVS1,VG,EX,GD,-3.0,-3.0,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,-2.5,-2.5
90,90.0,0.35-0.39,None,VVS2,VG,EX,GD,-3.0,-3.0,-3.5,-3.5,-3.0,-3.0,-3.0,-2.5,-2.5,-2.5
91,91.0,0.40-0.44,None,IF,VG,EX,GD,-3.0,-3.5,-3.0,-4.0,-3.5,-3.0,-3.0,-2.5,-2.5,-2.5
92,92.0,0.40-0.44,None,SI1,VG,EX,GD,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.0,-2.0,-2.0
93,93.0,0.40-0.44,None,SI2,VG,EX,GD,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.0,-2.0,-2.0
94,94.0,0.40-0.44,None,VS1,VG,EX,GD,-3.0,-2.5,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.5,-2.5
95,95.0,0.40-0.44,None,VS2,VG,EX,GD,-3.0,-2.5,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.5,-2.5
96,96.0,0.40-0.44,None,VVS1,VG,EX,GD,-3.0,-3.5,-3.0,-4.0,-3.5,-3.0,-3.0,-2.5,-2.5,-2.5
97,97.0,0.40-0.44,None,VVS2,VG,EX,GD,-3.0,-3.5,-3.0,-4.0,-3.5,-3.0,-3.0,-2.5,-2.5,-2.5
98,98.0,0.45-0.49,None,IF,VG,EX,GD,-3.0,-3.5,-4.0,-4.5,-4.0,-4.0,-3.5,-3.5,-3.5,-3.5
99,99.0,0.45-0.49,None,SI1,VG,EX,GD,-3.0,-3.5,-4.0,-4.5,-4.0,-3.5,-2.5,-2.5,-2.5,-2.5
100,100.0,0.45-0.49,None,SI2,VG,EX,GD,-3.0,-3.5,-4.0,-4.5,-4.0,-3.5,-2.5,-2.5,-2.5,-2.5
101,101.0,0.45-0.49,None,VS1,VG,EX,GD,-3.0,-3.5,-4.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.5,-2.5
102,102.0,0.45-0.49,None,VS2,VG,EX,GD,-3.0,-3.5,-4.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.5,-2.5
103,103.0,0.45-0.49,None,VVS1,VG,EX,GD,-3.0,-3.5,-4.0,-4.5,-4.0,-4.0,-3.5,-3.5,-3.5,-3.5
104,104.0,0.45-0.49,None,VVS2,VG,EX,GD,-3.0,-3.5,-4.0,-4.5,-4.0,-4.0,-3.5,-3.5,-3.5,-3.5
105,105.0,0.50-0.59,None,IF,VG,EX,GD,-3.0,-4.0,-4.5,-5.0,-4.0,-4.0,-4.0,-4.5,-4.5,-4.5
106,106.0,0.50-0.59,None,SI1,VG,EX,GD,-3.5,-3.0,-3.0,-4.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5
107,107.0,0.50-0.59,None,SI2,VG,EX,GD,-3.5,-3.0,-3.0,-4.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5
108,108.0,0.50-0.59,None,VS1,VG,EX,GD,-3.5,-4.0,-4.0,-4.5,-3.5,-4.0,-4.0,-4.0,-4.0,-4.0
109,109.0,0.50-0.59,None,VS2,VG,EX,GD,-3.5,-4.0,-4.0,-4.5,-3.5,-4.0,-4.0,-4.0,-4.0,-4.0
110,110.0,0.50-0.59,None,VVS1,VG,EX,GD,-3.0,-4.0,-4.5,-5.0,-4.0,-4.0,-4.0,-4.5,-4.5,-4.5
111,111.0,0.50-0.59,None,VVS2,VG,EX,GD,-3.0,-4.0,-4.5,-5.0,-4.0,-4.0,-4.0,-4.5,-4.5,-4.5
112,112.0,0.60-0.69,None,IF,VG,EX,GD,-3.0,-3.5,-3.5,-4.0,-3.5,-4.0,-4.5,-5.0,-5.0,-5.0
113,113.0,0.60-0.69,None,SI1,VG,EX,GD,-5.0,-4.5,-3.5,-3.5,-4.0,-4.5,-4.5,-5.0,-5.0,-5.0
114,114.0,0.60-0.69,None,SI2,VG,EX,GD,-5.0,-4.5,-3.5,-3.5,-4.0,-4.5,-4.5,-5.0,-5.0,-5.0
115,115.0,0.60-0.69,None,VS1,VG,EX,GD,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-4.5,-5.0,-5.0,-5.0
116,116.0,0.60-0.69,None,VS2,VG,EX,GD,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-4.5,-5.0,-5.0,-5.0
117,117.0,0.60-0.69,None,VVS1,VG,EX,GD,-3.0,-3.5,-3.5,-4.0,-3.5,-4.0,-4.5,-5.0,-5.0,-5.0
118,118.0,0.60-0.69,None,VVS2,VG,EX,GD,-3.0,-3.5,-3.5,-4.0,-3.5,-4.0,-4.5,-5.0,-5.0,-5.0
119,119.0,0.70-0.74,None,IF,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
120,120.0,0.70-0.74,None,SI1,VG,EX,GD,-4.5,-4.5,-4.5,-4.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0
121,121.0,0.70-0.74,None,SI2,VG,EX,GD,-4.5,-4.5,-4.5,-4.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0
122,122.0,0.70-0.74,None,VS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
123,123.0,0.70-0.74,None,VS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
124,124.0,0.70-0.74,None,VVS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
125,125.0,0.70-0.74,None,VVS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
126,126.0,0.75-0.79,None,IF,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
127,127.0,0.75-0.79,None,SI1,VG,EX,GD,-4.5,-4.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
128,128.0,0.75-0.79,None,SI2,VG,EX,GD,-4.5,-4.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
129,129.0,0.75-0.79,None,VS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
130,130.0,0.75-0.79,None,VS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
131,131.0,0.75-0.79,None,VVS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
132,132.0,0.75-0.79,None,VVS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
133,133.0,0.80-0.89,None,IF,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
134,134.0,0.80-0.89,None,SI1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
135,135.0,0.80-0.89,None,SI2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
136,136.0,0.80-0.89,None,VS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
137,137.0,0.80-0.89,None,VS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
138,138.0,0.80-0.89,None,VVS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
139,139.0,0.80-0.89,None,VVS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
140,140.0,0.90-0.94,None,IF,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
141,141.0,0.90-0.94,None,SI1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
142,142.0,0.90-0.94,None,SI2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
143,143.0,0.90-0.94,None,VS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
144,144.0,0.90-0.94,None,VS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
145,145.0,0.90-0.94,None,VVS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
146,146.0,0.90-0.94,None,VVS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
147,147.0,0.95-0.99,None,IF,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
148,148.0,0.95-0.99,None,SI1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
149,149.0,0.95-0.99,None,SI2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
150,150.0,0.95-0.99,None,VS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
151,151.0,0.95-0.99,None,VS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
152,152.0,0.95-0.99,None,VVS1,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
153,153.0,0.95-0.99,None,VVS2,VG,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
154,154.0,0.30-0.34,Faint,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-4.5,-4.5
155,155.0,0.30-0.34,Faint,SI1,EX,EX,GD,-5.0,-5.0,-4.5,-5.0,-4.5,-5.0,-5.0,-4.5,-4.5,-4.5
156,156.0,0.30-0.34,Faint,SI2,EX,EX,GD,-5.0,-5.0,-4.5,-5.0,-4.5,-5.0,-5.0,-4.5,-4.5,-4.5
157,157.0,0.30-0.34,Faint,VS1,EX,EX,GD,-4.5,-4.0,-4.0,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
158,158.0,0.30-0.34,Faint,VS2,EX,EX,GD,-4.5,-4.0,-4.0,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
159,159.0,0.30-0.34,Faint,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-4.5,-4.5
160,160.0,0.30-0.34,Faint,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-4.5,-4.5
161,161.0,0.35-0.39,Faint,IF,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
162,162.0,0.35-0.39,Faint,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
163,163.0,0.35-0.39,Faint,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
164,164.0,0.35-0.39,Faint,VS1,EX,EX,GD,-5.0,-5.0,-5.0,-4.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0
165,165.0,0.35-0.39,Faint,VS2,EX,EX,GD,-5.0,-5.0,-5.0,-4.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0
166,166.0,0.35-0.39,Faint,VVS1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
167,167.0,0.35-0.39,Faint,VVS2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
168,168.0,0.40-0.44,Faint,IF,EX,EX,GD,-5.0,-5.0,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
169,169.0,0.40-0.44,Faint,SI1,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-4.0,-4.0
170,170.0,0.40-0.44,Faint,SI2,EX,EX,GD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-4.0,-4.0
171,171.0,0.40-0.44,Faint,VS1,EX,EX,GD,-5.0,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
172,172.0,0.40-0.44,Faint,VS2,EX,EX,GD,-5.0,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
173,173.0,0.40-0.44,Faint,VVS1,EX,EX,GD,-5.0,-5.0,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
174,174.0,0.40-0.44,Faint,VVS2,EX,EX,GD,-5.0,-5.0,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
