What,value,Place,1,2,3,4,5,6,7,8,9,
Open,HO,Pavilion,0,0,0,0,0,0,0,0,0,GD
Open,Small,Table,-3,-3,-2,-3,-3,-2,-3,-3,-2,GD
Open,Small,Crown,-2,-2,-1,-2,-2,-1,-2,-2,-1,GD
Open,Small,Girdle,-1.5,-1.5,-1,-1,-1,-0.5,-1,-1,-0.5,GD
Open,Small,Pavilion,-1,-1,-0.5,-1,-1,-0.5,-1,-1,-0.5,GD
Open,Medium,Table,-5,-5,-4,-5,-5,-4,-3.5,-3.5,-2.5,GD
Open,Medium,Crown,-4,-4,-3.5,-4,-4,-3.5,-2.5,-2.5,-2,GD
Open,Medium,Girdle,-3,-3,-2.5,-3,-3,-2.5,-2,-2,-1.5,GD
Open,Medium,Pavilion,-2.5,-2.5,-2,-2.5,-2.5,-2,-1.5,-1.5,-1,GD
Open,Big,Table,-8,-8,-7,-8,-8,-7,-7,-7,-6,GD
Open,Big,Crown,-7,-7,-6,-7,-7,-6,-6,-6,-5,GD
Open,Big,Girdle,-6,-6,-5,-6,-6,-5,-5,-5,-4,GD
Open,Big,Pavilion,-5,-5,-4,-5,-5,-4,-4,-4,-3,GD
Natural,Indented Natural,Top,0,0,0,0,0,0,0,0,0,GD
Natural,Indented Natural,Girdle,0,0,0,0,0,0,0,0,0,GD
Natural,Indented Natural,Bottom,0,0,0,0,0,0,0,0,0,GD
Natural,Natural,Top,-1.5,-1.5,-1,-1,-1,0,0,0,0,GD
Natural,Natural,Girdle,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,GD
Natural,Natural,Bottom,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,GD
Natural,Big Natural,Top,-4,-4,-3.5,-3.5,-3.5,-3,-3,-3,-2.5,GD
Natural,Big Natural,Girdle,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,GD
Natural,Big Natural,Bottom,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,GD
Others,Extra Facet,Top,-1,-1,0,0,0,0,0,0,0,GD
Others,Extra Facet,Girdle,0,0,0,0,0,0,0,0,0,GD
Others,Extra Facet,Bottom,0,0,0,0,0,0,0,0,0,GD
Others,Cavity,Top,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-2.5,-2.5,-1.5,GD
Others,Cavity,Girdle,-2.5,-2.5,-1.5,-2.5,-2.5,-1.5,-1.5,-1.5,-0.5,GD
Others,Cavity,Bottom,-1.5,-1.5,-0.5,-1.5,-1.5,-0.5,-0.5,-0.5,-0.5,GD
Others,Chip,Top,-1,-1,-1,-1,-1,0,-1,-1,0,GD
Others,Chip,Girdle,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,0,GD
Others,Chip,Bottom,-0.5,-0.5,0,-0.5,-0.5,0,-1,-1,0,GD
