From,To,IF VVS F
1,1,-1.5
1.01,1.03,0
1.04,1.09,-1
1.1,1.19,-3
1.2,1.29,2.5
1.3,1.39,3.5
1.4,1.49,6.5
1.5,1.69,0
1.7,1.79,3
1.8,1.89,6.5
1.9,1.99,8.5
2,2,-2.5
2.01,2.09,0
2.1,2.24,-2
2.25,2.49,2
2.5,2.69,6.5
2.7,2.79,7.5
2.8,2.89,8
2.9,2.99,8.5
