,KtoS,1,2,3,4,5,6,7,8,9
1,Only 1 KtoS Characteristic i.e. Feather or Pinpoints,1.0,1.0,1.0,1.5,1.5,1.0,3.0,0.0,0.0
2,5 or more KtoS Characteristics,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
