,Clarity,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Size,Shape
758,L,-41,-40,-39,-40,-43,-41,-39,1.60-1.699,CUSHION
759,M,,,,,,,,1.60-1.699,CUSHION
760,D,,,-33,-31,-31,-33,-37,1.60-1.699,MARQUISE
761,E,,,-30,-29,-29,-33,-34,1.60-1.699,MARQUISE
762,F,,,-29,-27,-30,-31,-33,1.60-1.699,MARQUISE
763,G,,-28,-27,-26,-29,-29,-30,1.60-1.699,MARQUISE
764,H,,-25,-25,-24,-26,-28,-32,1.60-1.699,MARQUISE
765,I,,-23,-23,-22,-24,-24,-28,1.60-1.699,MARQUISE
766,J,,-25,-27,-24,-26,-25,-26,1.60-1.699,MARQUISE
767,K,,-30,-29,-27,-29,-31,-32,1.60-1.699,MARQUISE
768,L,,-28,-28,-29,-31,-31,-32,1.60-1.699,MARQUISE
769,M,,,,,,,,1.60-1.699,MARQUISE
770,D,-43,-42,-44,-47,-48,-47,-44,1.60-1.699,EMERALD
771,E,-47,-48,-49,-48,-47,-47,-48,1.60-1.699,EMERALD
772,F,-43,-45,-46,-46,-46,-46,-48,1.60-1.699,EMERALD
773,G,-47,-46,-44,-45,-46,-44,-47,1.60-1.699,EMERALD
774,H,-48,-49,-48,-47,-45,-42,-46,1.60-1.699,EMERALD
775,I,-39,-45,-44,-43,-42,-41,-42,1.60-1.699,EMERALD
776,J,-38,-41,-41,-39,-39,-41,-44,1.60-1.699,EMERALD
777,K,-41,-40,-39,-38,-37,-37,-39,1.60-1.699,EMERALD
778,L,-33,-36,-35,-38,-40,-40,-40,1.60-1.699,EMERALD
779,M,,,,,,,,1.60-1.699,EMERALD
780,D,-16,-15,-16,-15,-16,-20,-24,1.70-1.799,PEAR
781,E,-18,-17,-17,-16,-18,-19,-24,1.70-1.799,PEAR
782,F,-15,-14,-13,-16,-15,-18,-21,1.70-1.799,PEAR
783,G,-13,-12,-12,-14,-14,-15,-18,1.70-1.799,PEAR
784,H,-17,-15,-13,-15,-15,-17,-20,1.70-1.799,PEAR
785,I,-15,-16,-14,-12,-13,-19,-19,1.70-1.799,PEAR
786,J,-16,-16,-15,-15,-16,-20,-23,1.70-1.799,PEAR
787,K,-16,-16,-16,-17,-17,-19,-18,1.70-1.799,PEAR
788,L,-18,-18,-18,-20,-22,-25,-27,1.70-1.799,PEAR
789,M,,,,,,,,1.70-1.799,PEAR
790,D,-18,-19,-15,-17,-17,-17,-19,1.70-1.799,OVAL
791,E,-20,-19,-19,-18,-16,-20,-19,1.70-1.799,OVAL
792,F,-20,-20,-18,-17,-18,-17,-20,1.70-1.799,OVAL
793,G,-19,-20,-19,-17,-16,-18,-20,1.70-1.799,OVAL
794,H,-20,-19,-18,-17,-18,-18,-19,1.70-1.799,OVAL
795,I,-17,-17,-18,-16,-16,-17,-20,1.70-1.799,OVAL
796,J,-17,-16,-15,-16,-17,-17,-16,1.70-1.799,OVAL
797,K,-19,-18,-18,-18,-20,-18,-18,1.70-1.799,OVAL
798,L,-22,-20,-20,-20,-20,-20,-20,1.70-1.799,OVAL
799,M,,,,,,,,1.70-1.799,OVAL
800,D,-32,-34,-37,-35,-30,-30,-31,1.70-1.799,PRINCESS
801,E,-30,-30,-35,-36,-31,-33,-35,1.70-1.799,PRINCESS
802,F,-30,-32,-33,-34,-35,-32,-38,1.70-1.799,PRINCESS
803,G,-32,-32,-31,-35,-34,-34,-36,1.70-1.799,PRINCESS
804,H,-31,-31,-34,-33,-31,-32,-34,1.70-1.799,PRINCESS
805,I,-29,-27,-27,-27,-27,-26,-33,1.70-1.799,PRINCESS
806,J,-28,-26,-27,-26,-30,-28,-29,1.70-1.799,PRINCESS
807,K,-20,-22,-25,-25,-27,-29,-25,1.70-1.799,PRINCESS
808,L,-24,-24,-27,-26,-29,-28,-26,1.70-1.799,PRINCESS
809,M,,,,,,,,1.70-1.799,PRINCESS
810,D,-31,-31,-29,-35,-37,-36,-33,1.70-1.799,CUSHION
811,E,-31,-30,-30,-34,-35,-38,-40,1.70-1.799,CUSHION
812,F,-32,-32,-33,-33,-32,-38,-42,1.70-1.799,CUSHION
813,G,-32,-34,-32,-33,-32,-34,-40,1.70-1.799,CUSHION
814,H,-32,-32,-33,-35,-36,-34,-38,1.70-1.799,CUSHION
815,I,-31,-31,-33,-31,-31,-35,-35,1.70-1.799,CUSHION
816,J,-28,-30,-29,-28,-33,-35,-38,1.70-1.799,CUSHION
817,K,-30,-30,-30,-29,-30,-30,-31,1.70-1.799,CUSHION
818,L,-30,-32,-32,-31,-35,-35,-37,1.70-1.799,CUSHION
819,M,,,,,,,,1.70-1.799,CUSHION
820,D,,,-25,-25,-23,-23,-23,1.70-1.799,MARQUISE
821,E,,,-20,-22,-22,-22,-22,1.70-1.799,MARQUISE
822,F,,,-21,-20,-20,-23,-28,1.70-1.799,MARQUISE
823,G,,-21,-20,-17,-18,-21,-25,1.70-1.799,MARQUISE
824,H,,-18,-18,-18,-17,-18,-22,1.70-1.799,MARQUISE
825,I,,-16,-16,-16,-16,-17,-19,1.70-1.799,MARQUISE
826,J,,-17,-18,-18,-17,-18,-19,1.70-1.799,MARQUISE
827,K,,-18,-17,-18,-18,-18,-19,1.70-1.799,MARQUISE
828,L,,-19,-18,-18,-18,-25,-25,1.70-1.799,MARQUISE
829,M,,,,,,,,1.70-1.799,MARQUISE
830,D,-31,-31,-27,-32,-35,-33,-35,1.70-1.799,EMERALD
831,E,-34,-33,-31,-34,-35,-36,-33,1.70-1.799,EMERALD
832,F,-32,-32,-31,-34,-39,-38,-43,1.70-1.799,EMERALD
833,G,-31,-34,-35,-34,-35,-40,-42,1.70-1.799,EMERALD
834,H,-28,-30,-32,-34,-35,-37,-41,1.70-1.799,EMERALD
835,I,-31,-35,-34,-34,-32,-32,-36,1.70-1.799,EMERALD
836,J,-28,-27,-33,-33,-34,-37,-37,1.70-1.799,EMERALD
837,K,-24,-26,-24,-25,-28,-30,-28,1.70-1.799,EMERALD
838,L,-25,-25,-24,-24,-26,-28,-28,1.70-1.799,EMERALD
839,M,,,,,,,,1.70-1.799,EMERALD
840,D,-15,-14,-15,-14,-11,-12,-13,1.80-1.899,PEAR
841,E,-13,-12,-11,-11,-9,-10,-12,1.80-1.899,PEAR
842,F,-11,-9,-9,-8,-12,-14,-12,1.80-1.899,PEAR
843,G,-9,-8,-8,-11,-9,-11,-13,1.80-1.899,PEAR
844,H,-10,-9,-9,-8,-8,-12,-13,1.80-1.899,PEAR
845,I,-8,-7,-11,-9,-8,-10,-12,1.80-1.899,PEAR
846,J,-9,-8,-8,-7,-7,-8,-10,1.80-1.899,PEAR
847,K,-10,-9,-9,-8,-8,-9,-11,1.80-1.899,PEAR
848,L,-11,-10,-9,-9,-9,-10,-11,1.80-1.899,PEAR
849,M,,,,,,,,1.80-1.899,PEAR
850,D,-17,-16,-12,-14,-16,-13,-15,1.80-1.899,OVAL
851,E,-13,-13,-11,-10,-13,-14,-14,1.80-1.899,OVAL
852,F,-12,-11,-11,-11,-13,-13,-13,1.80-1.899,OVAL
853,G,-12,-12,-12,-12,-11,-11,-12,1.80-1.899,OVAL
854,H,-11,-10,-12,-12,-12,-12,-12,1.80-1.899,OVAL
855,I,-12,-11,-14,-13,-14,-15,-12,1.80-1.899,OVAL
856,J,-12,-11,-9,-11,-14,-16,-13,1.80-1.899,OVAL
857,K,-15,-14,-13,-11,-11,-12,-12,1.80-1.899,OVAL
858,L,-13,-12,-12,-12,-12,-16,-18,1.80-1.899,OVAL
859,M,,,,,,,,1.80-1.899,OVAL
860,D,-28,-28,-32,-28,-26,-27,-24,1.80-1.899,PRINCESS
861,E,-28,-28,-27,-27,-30,-27,-29,1.80-1.899,PRINCESS
862,F,-28,-28,-28,-27,-29,-28,-30,1.80-1.899,PRINCESS
863,G,-28,-29,-28,-29,-25,-27,-28,1.80-1.899,PRINCESS
864,H,-28,-28,-28,-27,-27,-27,-26,1.80-1.899,PRINCESS
865,I,-23,-25,-25,-23,-22,-22,-24,1.80-1.899,PRINCESS
866,J,-23,-22,-20,-18,-21,-25,-24,1.80-1.899,PRINCESS
867,K,-19,-18,-18,-19,-19,-20,-21,1.80-1.899,PRINCESS
868,L,-21,-20,-20,-20,-19,-20,-22,1.80-1.899,PRINCESS
869,M,,,,,,,,1.80-1.899,PRINCESS
870,D,-29,-28,-28,-29,-30,-25,-26,1.80-1.899,CUSHION
871,E,-29,-28,-27,-26,-28,-25,-27,1.80-1.899,CUSHION
872,F,-30,-29,-29,-30,-26,-29,-30,1.80-1.899,CUSHION
873,G,-31,-29,-27,-27,-26,-25,-28,1.80-1.899,CUSHION
874,H,-28,-26,-24,-25,-29,-32,-28,1.80-1.899,CUSHION
875,I,-30,-28,-26,-27,-30,-28,-27,1.80-1.899,CUSHION
876,J,-27,-26,-26,-25,-25,-27,-29,1.80-1.899,CUSHION
877,K,-25,-25,-25,-25,-25,-29,-30,1.80-1.899,CUSHION
878,L,-25,-25,-25,-25,-25,-29,-30,1.80-1.899,CUSHION
879,M,,,,,,,,1.80-1.899,CUSHION
880,D,,,-21,-20,-20,-18,-18,1.80-1.899,MARQUISE
881,E,,,-19,-18,-18,-19,-18,1.80-1.899,MARQUISE
882,F,,,-16,-15,-14,-15,-16,1.80-1.899,MARQUISE
883,G,,-16,-15,-15,-13,-14,-15,1.80-1.899,MARQUISE
884,H,,-13,-13,-13,-12,-13,-16,1.80-1.899,MARQUISE
885,I,,-11,-11,-11,-11,-12,-14,1.80-1.899,MARQUISE
886,J,,-13,-12,-12,-12,-13,-14,1.80-1.899,MARQUISE
887,K,,-14,-13,-13,-14,-15,-16,1.80-1.899,MARQUISE
888,L,,-16,-15,-15,-15,-16,-17,1.80-1.899,MARQUISE
889,M,,,,,,,,1.80-1.899,MARQUISE
890,D,-28,-32,-29,-25,-25,-25,-27,1.80-1.899,EMERALD
891,E,-28,-28,-29,-28,-28,-33,-29,1.80-1.899,EMERALD
892,F,-26,-26,-28,-29,-30,-33,-29,1.80-1.899,EMERALD
893,G,-30,-29,-29,-30,-31,-29,-30,1.80-1.899,EMERALD
894,H,-27,-26,-25,-24,-23,-27,-33,1.80-1.899,EMERALD
895,I,-34,-33,-32,-31,-29,-28,-30,1.80-1.899,EMERALD
896,J,-27,-26,-25,-23,-22,-24,-24,1.80-1.899,EMERALD
897,K,-23,-23,-22,-21,-20,-22,-22,1.80-1.899,EMERALD
898,L,-24,-24,-22,-22,-22,-22,-22,1.80-1.899,EMERALD
899,M,,,,,,,,1.80-1.899,EMERALD
900,D,-8,-11,-12,-11,-10,-11,-12,1.90-1.999,PEAR
901,E,-10,-10,-10,-10,-7,-8,-9,1.90-1.999,PEAR
902,F,-8,-8,-8,-7,-8,-11,-11,1.90-1.999,PEAR
903,G,-8,-7,-7,-5,-6,-9,-8,1.90-1.999,PEAR
904,H,-8,-8,-8,-7,-7,-8,-8,1.90-1.999,PEAR
905,I,-7,-6,-6,-5,-7,-8,-9,1.90-1.999,PEAR
906,J,-8,-7,-7,-6,-6,-7,-8,1.90-1.999,PEAR
907,K,-8,-7,-7,-7,-7,-7,-8,1.90-1.999,PEAR
908,L,-9,-8,-8,-8,-8,-9,-10,1.90-1.999,PEAR
909,M,,,,,,,,1.90-1.999,PEAR
910,D,-9,-8,-9,-8,-7,-8,-8,1.90-1.999,OVAL
911,E,-8,-6,-5,-6,-7,-8,-8,1.90-1.999,OVAL
912,F,-9,-8,-6,-6,-6,-8,-9,1.90-1.999,OVAL
913,G,-9,-9,-9,-9,-7,-9,-11,1.90-1.999,OVAL
914,H,-8,-7,-6,-7,-6,-8,-9,1.90-1.999,OVAL
915,I,-9,-8,-7,-6,-5,-8,-7,1.90-1.999,OVAL
916,J,-10,-10,-8,-7,-7,-9,-8,1.90-1.999,OVAL
917,K,-12,-11,-11,-10,-10,-11,-10,1.90-1.999,OVAL
918,L,-12,-11,-10,-10,-10,-12,-14,1.90-1.999,OVAL
919,M,,,,,,,,1.90-1.999,OVAL
920,D,-25,-24,-24,-24,-24,-26,-23,1.90-1.999,PRINCESS
921,E,-26,-27,-24,-25,-24,-23,-25,1.90-1.999,PRINCESS
922,F,-24,-23,-23,-22,-25,-26,-23,1.90-1.999,PRINCESS
923,G,-26,-24,-23,-23,-23,-23,-23,1.90-1.999,PRINCESS
924,H,-23,-22,-22,-21,-24,-20,-25,1.90-1.999,PRINCESS
925,I,-22,-23,-21,-20,-19,-21,-20,1.90-1.999,PRINCESS
926,J,-22,-21,-19,-17,-20,-18,-19,1.90-1.999,PRINCESS
927,K,-18,-17,-17,-17,-18,-19,-20,1.90-1.999,PRINCESS
928,L,-20,-19,-18,-18,-18,-19,-20,1.90-1.999,PRINCESS
929,M,,,,,,,,1.90-1.999,PRINCESS
930,D,-23,-23,-23,-23,-23,-22,-23,1.90-1.999,CUSHION
931,E,-22,-21,-21,-21,-23,-24,-25,1.90-1.999,CUSHION
932,F,-25,-23,-23,-23,-23,-23,-23,1.90-1.999,CUSHION
933,G,-23,-23,-26,-26,-25,-22,-24,1.90-1.999,CUSHION
934,H,-22,-21,-21,-20,-20,-23,-23,1.90-1.999,CUSHION
935,I,-22,-21,-22,-21,-22,-24,-23,1.90-1.999,CUSHION
936,J,-22,-22,-23,-21,-20,-25,-24,1.90-1.999,CUSHION
937,K,-21,-20,-20,-20,-22,-22,-22,1.90-1.999,CUSHION
938,L,-22,-22,-22,-21,-22,-24,-24,1.90-1.999,CUSHION
939,M,,,,,,,,1.90-1.999,CUSHION
940,D,,,-20,-18,-18,-16,-16,1.90-1.999,MARQUISE
941,E,,,-18,-16,-16,-17,-16,1.90-1.999,MARQUISE
942,F,,,-14,-13,-12,-13,-14,1.90-1.999,MARQUISE
943,G,,-14,-13,-13,-10,-12,-13,1.90-1.999,MARQUISE
944,H,,-11,-11,-11,-10,-11,-14,1.90-1.999,MARQUISE
945,I,,-9,-9,-9,-9,-10,-12,1.90-1.999,MARQUISE
946,J,,-12,-11,-10,-10,-11,-12,1.90-1.999,MARQUISE
947,K,,-12,-11,-11,-12,-13,-14,1.90-1.999,MARQUISE
948,L,,-14,-13,-13,-13,-14,-15,1.90-1.999,MARQUISE
949,M,,,,,,,,1.90-1.999,MARQUISE
950,D,-23,-24,-23,-22,-23,-24,-26,1.90-1.999,EMERALD
951,E,-24,-23,-23,-22,-23,-25,-25,1.90-1.999,EMERALD
952,F,-23,-22,-22,-21,-22,-25,-27,1.90-1.999,EMERALD
953,G,-24,-25,-23,-25,-23,-23,-25,1.90-1.999,EMERALD
954,H,-22,-21,-20,-20,-20,-20,-23,1.90-1.999,EMERALD
955,I,-21,-21,-21,-21,-20,-23,-23,1.90-1.999,EMERALD
956,J,-22,-22,-22,-22,-20,-23,-23,1.90-1.999,EMERALD
957,K,-22,-21,-20,-19,-18,-21,-19,1.90-1.999,EMERALD
958,L,-23,-25,-22,-22,-21,-19,-19,1.90-1.999,EMERALD
959,M,,,,,,,,1.90-1.999,EMERALD
960,D,-30,-25,-24,-25,-30,-33,-33,2.00-2.099,PEAR
961,E,-32,-30,-28,-25,-29,-30,-30,2.00-2.099,PEAR
962,F,-31,-27,-26,-24,-28,-30,-32,2.00-2.099,PEAR
963,G,-25,-25,-23,-22,-24,-26,-30,2.00-2.099,PEAR
964,H,-22,-22,-22,-21,-20,-23,-26,2.00-2.099,PEAR
965,I,-20,-23,-20,-19,-18,-25,-27,2.00-2.099,PEAR
966,J,-20,-19,-18,-18,-16,-22,-26,2.00-2.099,PEAR
967,K,-21,-21,-20,-20,-21,-20,-22,2.00-2.099,PEAR
968,L,-21,-21,-19,-18,-19,-19,-24,2.00-2.099,PEAR
969,M,,,,,,,,2.00-2.099,PEAR
970,D,-33,-32,-32,-28,-28,-31,-30,2.00-2.099,OVAL
971,E,-28,-32,-30,-27,-27,-28,-31,2.00-2.099,OVAL
972,F,-27,-26,-26,-26,-28,-28,-30,2.00-2.099,OVAL
973,G,-24,-23,-23,-24,-24,-28,-32,2.00-2.099,OVAL
974,H,-25,-22,-22,-22,-21,-27,-28,2.00-2.099,OVAL
975,I,-25,-24,-23,-23,-21,-23,-23,2.00-2.099,OVAL
976,J,-24,-23,-25,-23,-22,-23,-25,2.00-2.099,OVAL
977,K,-29,-27,-27,-26,-32,-32,-30,2.00-2.099,OVAL
978,L,-26,-26,-27,-30,-28,-29,-32,2.00-2.099,OVAL
979,M,,,,,,,,2.00-2.099,OVAL
980,D,-40,-39,-40,-43,-43,-40,-40,2.00-2.099,PRINCESS
981,E,-40,-44,-42,-44,-44,-40,-41,2.00-2.099,PRINCESS
982,F,-40,-39,-40,-42,-44,-43,-40,2.00-2.099,PRINCESS
983,G,-40,-41,-43,-43,-42,-39,-40,2.00-2.099,PRINCESS
984,H,-39,-36,-37,-37,-35,-34,-37,2.00-2.099,PRINCESS
985,I,-36,-34,-33,-35,-33,-37,-35,2.00-2.099,PRINCESS
986,J,-34,-38,-37,-36,-35,-35,-36,2.00-2.099,PRINCESS
987,K,-33,-31,-32,-32,-33,-34,-32,2.00-2.099,PRINCESS
988,L,-29,-29,-30,-29,-30,-31,-31,2.00-2.099,PRINCESS
989,M,,,,,,,,2.00-2.099,PRINCESS
990,D,-43,-43,-44,-41,-43,-42,-41,2.00-2.099,CUSHION
991,E,-40,-43,-41,-41,-42,-43,-42,2.00-2.099,CUSHION
992,F,-40,-40,-40,-39,-42,-40,-41,2.00-2.099,CUSHION
993,G,-40,-41,-40,-41,-41,-40,-42,2.00-2.099,CUSHION
994,H,-41,-41,-40,-40,-38,-40,-40,2.00-2.099,CUSHION
995,I,-37,-37,-38,-38,-38,-39,-40,2.00-2.099,CUSHION
996,J,-37,-38,-40,-39,-38,-38,-40,2.00-2.099,CUSHION
997,K,-37,-36,-36,-39,-39,-41,-39,2.00-2.099,CUSHION
998,L,-39,-40,-39,-39,-38,-40,-41,2.00-2.099,CUSHION
999,M,,,,,,,,2.00-2.099,CUSHION
1000,D,,,-28,-26,-22,-23,-22,2.00-2.099,MARQUISE
1001,E,,,-24,-28,-29,-25,-23,2.00-2.099,MARQUISE
1002,F,,,-26,-27,-26,-25,-25,2.00-2.099,MARQUISE
1003,G,,-27,-26,-26,-24,-23,-23,2.00-2.099,MARQUISE
1004,H,,-22,-20,-19,-20,-20,-25,2.00-2.099,MARQUISE
1005,I,,-22,-22,-21,-20,-23,-22,2.00-2.099,MARQUISE
1006,J,,-23,-22,-23,-22,-22,-21,2.00-2.099,MARQUISE
1007,K,,-24,-23,-23,-23,-21,-21,2.00-2.099,MARQUISE
1008,L,,-22,-20,-20,-19,-19,-21,2.00-2.099,MARQUISE
1009,M,,,,,,,,2.00-2.099,MARQUISE
1010,D,-39,-39,-38,-40,-44,-43,-44,2.00-2.099,EMERALD
1011,E,-42,-38,-40,-44,-43,-42,-43,2.00-2.099,EMERALD
1012,F,-40,-40,-43,-42,-42,-42,-43,2.00-2.099,EMERALD
1013,G,-38,-44,-44,-43,-44,-38,-41,2.00-2.099,EMERALD
1014,H,-36,-38,-40,-40,-39,-37,-38,2.00-2.099,EMERALD
1015,I,-35,-37,-36,-35,-34,-38,-39,2.00-2.099,EMERALD
1016,J,-33,-33,-34,-36,-35,-36,-35,2.00-2.099,EMERALD
1017,K,-32,-33,-36,-36,-39,-38,-37,2.00-2.099,EMERALD
1018,L,-27,-29,-33,-32,-35,-36,-34,2.00-2.099,EMERALD
1019,M,,,,,,,,2.00-2.099,EMERALD
1020,D,-34,-29,-28,-28,-33,-35,-35,2.10-2.199,PEAR
1021,E,-36,-34,-32,-28,-32,-32,-32,2.10-2.199,PEAR
1022,F,-35,-31,-30,-27,-31,-32,-34,2.10-2.199,PEAR
1023,G,-29,-29,-27,-25,-27,-28,-32,2.10-2.199,PEAR
1024,H,-26,-26,-26,-24,-23,-25,-28,2.10-2.199,PEAR
1025,I,-24,-27,-24,-22,-21,-27,-29,2.10-2.199,PEAR
1026,J,-24,-23,-22,-21,-19,-24,-28,2.10-2.199,PEAR
1027,K,-25,-25,-24,-23,-24,-22,-24,2.10-2.199,PEAR
1028,L,-25,-25,-23,-21,-22,-21,-26,2.10-2.199,PEAR
1029,M,,,,,,,,2.10-2.199,PEAR
1030,D,-37,-36,-36,-31,-31,-33,-32,2.10-2.199,OVAL
1031,E,-32,-36,-34,-30,-30,-30,-33,2.10-2.199,OVAL
1032,F,-31,-30,-30,-29,-31,-30,-32,2.10-2.199,OVAL
1033,G,-28,-27,-27,-27,-27,-30,-34,2.10-2.199,OVAL
1034,H,-29,-26,-26,-25,-24,-29,-30,2.10-2.199,OVAL
1035,I,-29,-28,-27,-26,-24,-25,-25,2.10-2.199,OVAL
1036,J,-28,-27,-29,-26,-25,-25,-27,2.10-2.199,OVAL
1037,K,-33,-31,-31,-29,-35,-34,-32,2.10-2.199,OVAL
1038,L,-30,-30,-31,-33,-31,-31,-34,2.10-2.199,OVAL
1039,M,,,,,,,,2.10-2.199,OVAL
1040,D,-44,-43,-44,-46,-46,-42,-42,2.10-2.199,PRINCESS
1041,E,-44,-48,-46,-47,-47,-42,-43,2.10-2.199,PRINCESS
1042,F,-44,-43,-44,-45,-47,-45,-42,2.10-2.199,PRINCESS
1043,G,-44,-45,-47,-46,-45,-41,-42,2.10-2.199,PRINCESS
1044,H,-43,-40,-41,-40,-38,-36,-39,2.10-2.199,PRINCESS
1045,I,-40,-38,-37,-38,-36,-39,-37,2.10-2.199,PRINCESS
1046,J,-38,-42,-41,-39,-38,-37,-38,2.10-2.199,PRINCESS
1047,K,-37,-35,-36,-35,-36,-36,-34,2.10-2.199,PRINCESS
1048,L,-33,-33,-34,-32,-33,-33,-33,2.10-2.199,PRINCESS
1049,M,,,,,,,,2.10-2.199,PRINCESS
1050,D,-47,-47,-48,-44,-46,-44,-43,2.10-2.199,CUSHION
1051,E,-44,-47,-45,-44,-45,-45,-44,2.10-2.199,CUSHION
1052,F,-44,-44,-44,-42,-45,-42,-43,2.10-2.199,CUSHION
1053,G,-44,-45,-44,-44,-44,-42,-44,2.10-2.199,CUSHION
1054,H,-45,-45,-44,-43,-41,-42,-42,2.10-2.199,CUSHION
1055,I,-41,-41,-42,-41,-41,-41,-42,2.10-2.199,CUSHION
1056,J,-41,-42,-44,-42,-41,-40,-42,2.10-2.199,CUSHION
1057,K,-41,-40,-40,-42,-42,-43,-41,2.10-2.199,CUSHION
1058,L,-43,-44,-43,-42,-41,-42,-43,2.10-2.199,CUSHION
1059,M,,,,,,,,2.10-2.199,CUSHION
1060,D,,,-32,-29,-25,-25,-24,2.10-2.199,MARQUISE
1061,E,,,-28,-31,-32,-27,-25,2.10-2.199,MARQUISE
1062,F,,,-30,-30,-29,-27,-27,2.10-2.199,MARQUISE
1063,G,,-31,-30,-29,-27,-25,-25,2.10-2.199,MARQUISE
1064,H,,-26,-24,-22,-23,-22,-27,2.10-2.199,MARQUISE
1065,I,,-26,-26,-24,-23,-25,-24,2.10-2.199,MARQUISE
1066,J,,-27,-26,-26,-25,-24,-23,2.10-2.199,MARQUISE
1067,K,,-28,-27,-26,-26,-23,-23,2.10-2.199,MARQUISE
1068,L,,-26,-24,-23,-22,-21,-23,2.10-2.199,MARQUISE
1069,M,,,,,,,,2.10-2.199,MARQUISE
1070,D,-43,-43,-42,-43,-47,-45,-46,2.10-2.199,EMERALD
1071,E,-46,-42,-44,-47,-46,-44,-45,2.10-2.199,EMERALD
1072,F,-44,-44,-47,-45,-45,-44,-45,2.10-2.199,EMERALD
1073,G,-42,-48,-48,-46,-47,-40,-43,2.10-2.199,EMERALD
1074,H,-40,-42,-44,-43,-42,-39,-40,2.10-2.199,EMERALD
1075,I,-39,-41,-40,-38,-37,-40,-41,2.10-2.199,EMERALD
1076,J,-37,-37,-38,-39,-38,-38,-37,2.10-2.199,EMERALD
1077,K,-36,-37,-40,-39,-42,-40,-39,2.10-2.199,EMERALD
1078,L,-31,-33,-37,-35,-38,-38,-36,2.10-2.199,EMERALD
1079,M,,,,,,,,2.10-2.199,EMERALD
1080,D,-26,-21,-20,-21,-26,-29,-29,2.20-2.499,PEAR
1081,E,-28,-26,-24,-21,-25,-26,-26,2.20-2.499,PEAR
1082,F,-27,-23,-22,-20,-24,-26,-28,2.20-2.499,PEAR
1083,G,-21,-21,-19,-18,-20,-22,-26,2.20-2.499,PEAR
1084,H,-18,-18,-18,-17,-16,-19,-22,2.20-2.499,PEAR
1085,I,-16,-19,-16,-15,-14,-21,-23,2.20-2.499,PEAR
1086,J,-16,-15,-14,-14,-12,-18,-22,2.20-2.499,PEAR
1087,K,-17,-17,-16,-16,-17,-16,-18,2.20-2.499,PEAR
1088,L,-17,-17,-15,-14,-15,-15,-20,2.20-2.499,PEAR
1089,M,,,,,,,,2.20-2.499,PEAR
1090,D,-29,-28,-28,-24,-24,-27,-26,2.20-2.499,OVAL
1091,E,-24,-28,-26,-23,-23,-24,-27,2.20-2.499,OVAL
1092,F,-23,-22,-22,-22,-24,-24,-26,2.20-2.499,OVAL
1093,G,-20,-19,-19,-20,-20,-24,-28,2.20-2.499,OVAL
1094,H,-21,-18,-18,-18,-17,-23,-24,2.20-2.499,OVAL
1095,I,-21,-20,-19,-19,-17,-19,-19,2.20-2.499,OVAL
1096,J,-20,-19,-21,-19,-18,-19,-21,2.20-2.499,OVAL
1097,K,-25,-23,-23,-22,-28,-28,-26,2.20-2.499,OVAL
1098,L,-22,-22,-23,-26,-24,-25,-28,2.20-2.499,OVAL
1099,M,,,,,,,,2.20-2.499,OVAL
1100,D,-36,-35,-36,-39,-39,-36,-36,2.20-2.499,PRINCESS
1101,E,-36,-40,-38,-40,-40,-36,-37,2.20-2.499,PRINCESS
1102,F,-36,-35,-36,-38,-40,-39,-36,2.20-2.499,PRINCESS
1103,G,-36,-37,-39,-39,-38,-35,-36,2.20-2.499,PRINCESS
1104,H,-35,-32,-33,-33,-31,-30,-33,2.20-2.499,PRINCESS
1105,I,-32,-30,-29,-31,-29,-33,-31,2.20-2.499,PRINCESS
1106,J,-30,-34,-33,-32,-31,-31,-32,2.20-2.499,PRINCESS
1107,K,-29,-27,-28,-28,-29,-30,-28,2.20-2.499,PRINCESS
1108,L,-25,-25,-26,-25,-26,-27,-27,2.20-2.499,PRINCESS
1109,M,,,,,,,,2.20-2.499,PRINCESS
1110,D,-39,-39,-40,-37,-39,-38,-37,2.20-2.499,CUSHION
1111,E,-36,-39,-37,-37,-38,-39,-38,2.20-2.499,CUSHION
1112,F,-36,-36,-36,-35,-38,-36,-37,2.20-2.499,CUSHION
1113,G,-36,-37,-36,-37,-37,-36,-38,2.20-2.499,CUSHION
1114,H,-37,-37,-36,-36,-34,-36,-36,2.20-2.499,CUSHION
1115,I,-33,-33,-34,-34,-34,-35,-36,2.20-2.499,CUSHION
1116,J,-33,-34,-36,-35,-34,-34,-36,2.20-2.499,CUSHION
1117,K,-33,-32,-32,-35,-35,-37,-35,2.20-2.499,CUSHION
1118,L,-35,-36,-35,-35,-34,-36,-37,2.20-2.499,CUSHION
1119,M,,,,,,,,2.20-2.499,CUSHION
1120,D,,,-24,-22,-18,-19,-18,2.20-2.499,MARQUISE
1121,E,,,-20,-24,-25,-21,-19,2.20-2.499,MARQUISE
1122,F,,,-22,-23,-22,-21,-21,2.20-2.499,MARQUISE
1123,G,,-23,-22,-22,-20,-19,-19,2.20-2.499,MARQUISE
1124,H,,-18,-16,-15,-16,-16,-21,2.20-2.499,MARQUISE
1125,I,,-18,-18,-17,-16,-19,-18,2.20-2.499,MARQUISE
1126,J,,-19,-18,-19,-18,-18,-17,2.20-2.499,MARQUISE
1127,K,,-20,-19,-19,-19,-17,-17,2.20-2.499,MARQUISE
1128,L,,-18,-16,-16,-15,-15,-17,2.20-2.499,MARQUISE
1129,M,,,,,,,,2.20-2.499,MARQUISE
