Location,Intensity,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,sizemin,sizemax,cut,polish,sym,Shape
Crown,3,-6.0,-6.0,-5.5,-8.0,-8.0,-6.5,-7.0,-7.0,-6.0,0,2.99,,VG,VG,Fancy
Table,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,EX,EX,EX,Fancy
Table,1+,-3.5,-3.5,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,3,10.0,EX,EX,EX,Fancy
Table,1,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-5.0,-4.5,-4.5,3,10.0,EX,EX,EX,Fancy
Table,2,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Table,3,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Crown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,EX,EX,EX,Fancy
Crown,1+,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3,10.0,EX,EX,EX,Fancy
Crown,1,-4.5,-4.5,-4.0,-4.5,-4.5,-4.0,-4.5,-4.5,-4.0,3,10.0,EX,EX,EX,Fancy
Crown,2,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Crown,3,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Table,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,VG,VG,Fancy
Table,1+,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3,10.0,,VG,VG,Fancy
Table,1,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-5.0,-4.5,-4.0,3,10.0,,VG,VG,Fancy
Table,2,,,,,,,,,,3,10.0,,VG,VG,Fancy
Table,3,,,,,,,,,,3,10.0,,VG,VG,Fancy
Crown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,VG,VG,Fancy
Crown,1+,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3,10.0,,VG,VG,Fancy
Crown,1,-4.5,-4.5,-4.0,-4.5,-4.5,-4.0,-4.0,-4.0,-4.0,3,10.0,,VG,VG,Fancy
Crown,2,,,,,,,,,,3,10.0,,VG,VG,Fancy
Crown,3,,,,,,,,,,3,10.0,,VG,VG,Fancy
Table,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Table,1+,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Table,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,0.99,,,,Dossiers
Table,2,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,0,0.99,,,,Dossiers
Table,3,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0.99,,,,Dossiers
Crown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Crown,1+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Crown,1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Crown,2,-3.0,-2.0,-2.0,-3.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,0.99,,,,Dossiers
Crown,3,-4.0,-3.0,-3.0,-4.0,-3.0,-3.0,-3.0,-3.0,-3.0,0,0.99,,,,Dossiers
