From,To,IF VVS F
1.00,1.00,-1.5
1.01,1.03,0.0
1.04,1.09,-1.0
1.10,1.19,-3.0
1.20,1.29,7.0
1.30,1.39,9.5
1.40,1.49,13.5
1.50,1.69,0.0
1.70,1.79,5.5
1.80,1.89,13.0
1.90,1.99,17.5
2.00,2.00,-2.5
2.01,2.09,0.0
2.10,2.24,-2.0
2.25,2.49,3.0
2.50,2.69,12.5
2.70,2.79,16.5
2.80,2.89,17.0
2.90,2.99,17.5
