From,To,IF VVS F
1.00,1.00,-1.5
1.01,1.03,0.0
1.04,1.09,-1.0
1.10,1.19,-3.0
1.20,1.29,3.5
1.30,1.39,5.0
1.40,1.49,7.0
1.50,1.69,0.0
1.70,1.79,3.0
1.80,1.89,6.5
1.90,1.99,9.0
2.00,2.00,-2.5
2.01,2.09,0.0
2.10,2.24,-2.0
2.25,2.49,1.5
2.50,2.69,6.5
2.70,2.79,8.5
2.80,2.89,8.5
2.90,2.99,9.0
