Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,
-0.46,RO,H,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.42,RO,I,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.37,RO,J,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,K,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,L,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,M,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.48,RO,D,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.51,RO,E,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,F,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,G,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.46,RO,H,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,I,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.37,RO,J,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.37,RO,K,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,L,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,M,VS1,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,D,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,E,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.48,RO,F,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,G,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.46,RO,H,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,I,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.38,RO,J,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.38,RO,K,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,L,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,M,VS2,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,D,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,E,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,F,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,G,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.43,RO,H,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.43,RO,I,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,J,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,K,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,L,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,M,SI1,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,D,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,E,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.46,RO,F,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.47,RO,G,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.45,RO,H,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.44,RO,I,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.42,RO,J,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,K,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,L,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.42,RO,M,SI2,EX,EX,EX,Strong,1.01-1.09,
-0.33,RO,D,I1,EX,EX,EX,Strong,1.01-1.09,
-0.36,RO,E,I1,EX,EX,EX,Strong,1.01-1.09,
-0.38,RO,F,I1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,G,I1,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,H,I1,EX,EX,EX,Strong,1.01-1.09,
-0.34,RO,I,I1,EX,EX,EX,Strong,1.01-1.09,
-0.38,RO,J,I1,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,K,I1,EX,EX,EX,Strong,1.01-1.09,
-0.38,RO,L,I1,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,M,I1,EX,EX,EX,Strong,1.01-1.09,
-0.61,RO,D,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.56,RO,E,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.56,RO,F,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.55,RO,G,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.51,RO,H,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,I,IF,EX,EX,EX,Very Strong,1.01-1.09,
