Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,
-0.37,RO,F,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,G,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,H,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.29,RO,I,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.31,RO,J,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,K,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,L,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.37,RO,M,VVS1,EX,EX,EX,Faint,1.01-1.09,
-0.38,RO,D,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.4,RO,E,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.38,RO,F,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,G,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.32,RO,H,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.29,RO,I,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.32,RO,J,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,K,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.32,RO,L,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.37,RO,M,VVS2,EX,EX,EX,Faint,1.01-1.09,
-0.38,RO,D,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.39,RO,E,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.39,RO,F,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,G,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,H,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,I,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,J,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,K,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.31,RO,L,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.38,RO,M,VS1,EX,EX,EX,Faint,1.01-1.09,
-0.38,RO,D,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,E,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.35,RO,F,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,G,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.31,RO,H,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.33,RO,I,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.31,RO,J,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.32,RO,K,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,L,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.35,RO,M,VS2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,D,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.35,RO,E,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,F,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,G,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.32,RO,H,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.35,RO,I,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.33,RO,J,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.34,RO,K,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.33,RO,L,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,M,SI1,EX,EX,EX,Faint,1.01-1.09,
-0.37,RO,D,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.38,RO,E,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,F,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,G,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,H,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.38,RO,I,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.37,RO,J,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,K,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.35,RO,L,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.36,RO,M,SI2,EX,EX,EX,Faint,1.01-1.09,
-0.25,RO,D,I1,EX,EX,EX,Faint,1.01-1.09,
-0.26,RO,E,I1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,F,I1,EX,EX,EX,Faint,1.01-1.09,
-0.33,RO,G,I1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,H,I1,EX,EX,EX,Faint,1.01-1.09,
-0.29,RO,I,I1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,J,I1,EX,EX,EX,Faint,1.01-1.09,
-0.3,RO,K,I1,EX,EX,EX,Faint,1.01-1.09,
-0.32,RO,L,I1,EX,EX,EX,Faint,1.01-1.09,
-0.33,RO,M,I1,EX,EX,EX,Faint,1.01-1.09,
-0.46,RO,D,IF,EX,EX,EX,Medium,1.01-1.09,
-0.46,RO,E,IF,EX,EX,EX,Medium,1.01-1.09,
-0.42,RO,F,IF,EX,EX,EX,Medium,1.01-1.09,
-0.42,RO,G,IF,EX,EX,EX,Medium,1.01-1.09,
-0.38,RO,H,IF,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,I,IF,EX,EX,EX,Medium,1.01-1.09,
-0.35,RO,J,IF,EX,EX,EX,Medium,1.01-1.09,
-0.35,RO,K,IF,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,L,IF,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,M,IF,EX,EX,EX,Medium,1.01-1.09,
-0.47,RO,D,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.47,RO,E,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.44,RO,F,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.41,RO,G,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.38,RO,H,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,I,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.34,RO,J,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,K,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.36,RO,L,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.38,RO,M,VVS1,EX,EX,EX,Medium,1.01-1.09,
-0.47,RO,D,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.49,RO,E,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.46,RO,F,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.42,RO,G,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,H,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,I,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.34,RO,J,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,K,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,L,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.38,RO,M,VVS2,EX,EX,EX,Medium,1.01-1.09,
-0.45,RO,D,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.46,RO,E,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.47,RO,F,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.43,RO,G,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.4,RO,H,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,I,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.34,RO,J,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,K,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.36,RO,L,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.39,RO,M,VS1,EX,EX,EX,Medium,1.01-1.09,
-0.45,RO,D,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.46,RO,E,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.44,RO,F,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.42,RO,G,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.4,RO,H,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.34,RO,I,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,J,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.36,RO,K,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,L,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.39,RO,M,VS2,EX,EX,EX,Medium,1.01-1.09,
-0.42,RO,D,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.45,RO,E,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.44,RO,F,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.42,RO,G,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.39,RO,H,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,I,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,J,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.36,RO,K,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,L,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.38,RO,M,SI1,EX,EX,EX,Medium,1.01-1.09,
-0.44,RO,D,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.44,RO,E,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.43,RO,F,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.41,RO,G,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.39,RO,H,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.42,RO,I,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.4,RO,J,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.37,RO,K,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.39,RO,L,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.4,RO,M,SI2,EX,EX,EX,Medium,1.01-1.09,
-0.32,RO,D,I1,EX,EX,EX,Medium,1.01-1.09,
-0.31,RO,E,I1,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,F,I1,EX,EX,EX,Medium,1.01-1.09,
-0.35,RO,G,I1,EX,EX,EX,Medium,1.01-1.09,
-0.31,RO,H,I1,EX,EX,EX,Medium,1.01-1.09,
-0.32,RO,I,I1,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,J,I1,EX,EX,EX,Medium,1.01-1.09,
-0.31,RO,K,I1,EX,EX,EX,Medium,1.01-1.09,
-0.33,RO,L,I1,EX,EX,EX,Medium,1.01-1.09,
-0.34,RO,M,I1,EX,EX,EX,Medium,1.01-1.09,
-0.56,RO,D,IF,EX,EX,EX,Strong,1.01-1.09,
-0.51,RO,E,IF,EX,EX,EX,Strong,1.01-1.09,
-0.5,RO,F,IF,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,G,IF,EX,EX,EX,Strong,1.01-1.09,
-0.45,RO,H,IF,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,I,IF,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,J,IF,EX,EX,EX,Strong,1.01-1.09,
-0.36,RO,K,IF,EX,EX,EX,Strong,1.01-1.09,
-0.39,RO,L,IF,EX,EX,EX,Strong,1.01-1.09,
-0.38,RO,M,IF,EX,EX,EX,Strong,1.01-1.09,
-0.54,RO,D,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.5,RO,E,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.5,RO,F,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,G,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.46,RO,H,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.41,RO,I,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.37,RO,J,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.37,RO,K,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.37,RO,L,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.4,RO,M,VVS1,EX,EX,EX,Strong,1.01-1.09,
-0.5,RO,D,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.51,RO,E,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,F,VVS2,EX,EX,EX,Strong,1.01-1.09,
-0.49,RO,G,VVS2,EX,EX,EX,Strong,1.01-1.09,
